Year,Month,Day,Inflow_m3d,Inflow_TP_mgm3,Inflow_NO3_mgm3,Inflow_TP_mgd,Inflow_NO3_mgd
1969,6,27,0,18.37388802,39.22074253,0,0
1969,6,28,113,18.40053101,39.12001878,2083,4428
1969,6,29,132,18.427174,39.01929504,2439,5165
1969,6,30,91,18.45381699,38.91857129,1684,3552
1969,7,1,78,18.48045998,38.81784755,1433,3010
1969,7,2,105,18.50710297,38.7171238,1943,4064
1969,7,3,78,18.53374596,38.61640005,1437,2995
1969,7,4,245,18.56038895,38.51567631,4543,9427
1969,7,5,648,18.58703194,38.41495256,12039,24883
1969,7,6,78,18.61367493,38.31422882,1444,2971
1969,7,7,78,18.64031792,38.21350507,1446,2964
1969,7,8,78,18.66696091,38.11278132,1448,2956
1969,7,9,78,18.6936039,38.01205758,1450,2948
1969,7,10,113,18.72024689,37.91133383,2119,4291
1969,7,11,78,18.74688988,37.81061009,1454,2932
1969,7,12,78,18.77353287,37.70988634,1456,2925
1969,7,13,99,18.80017586,37.60916259,1870,3741
1969,7,14,300,18.82681885,37.50843885,5640,11237
1969,7,15,146,18.85346184,37.4077151,2754,5465
1969,7,16,78,18.88010483,37.30699136,1464,2893
1969,7,17,78,18.90674782,37.20626761,1466,2885
1969,7,18,78,18.93339081,37.10554386,1468,2878
1969,7,19,78,18.9600338,37.00482012,1470,2870
1969,7,20,78,18.98667679,36.90409637,1472,2862
1969,7,21,78,19.01331978,36.80337263,1475,2854
1969,7,22,286,19.03996277,36.70264888,5443,10493
1969,7,23,774,19.06660576,36.60192513,14754,28324
1969,7,24,78,19.09324875,36.50120139,1481,2831
1969,7,25,168,19.11989174,36.40047764,3212,6116
1969,7,26,78,19.14653473,36.2997539,1485,2815
1969,7,27,475,19.17317772,36.19903015,9108,17196
1969,7,28,78,19.19982071,36.0983064,1489,2800
1969,7,29,78,19.2264637,35.99758266,1491,2792
1969,7,30,78,19.25310669,35.89685891,1493,2784
1969,7,31,1144,19.27974968,35.79613517,22054,40947
1969,8,1,78,19.30639267,35.69541142,1497,2768
1969,8,2,78,19.33303566,35.59468767,1499,2760
1969,8,3,78,19.35967865,35.49396393,1501,2753
1969,8,4,313,19.38632164,35.39324018,6074,11089
1969,8,5,78,19.41296463,35.29251644,1506,2737
1969,8,6,78,19.43960762,35.19179269,1508,2729
1969,8,7,941,19.46625061,35.09106894,18319,33022
1969,8,8,390,19.4928936,34.9903452,7603,13648
