-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model. Documentation from R. Boysseu was unclear which date this was taken from"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)	O2z	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POPz (mg/m3)
0	50000	10.28	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	41700	10.28	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	33000	8.03	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	28500	6.12	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	26000	5.31	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	23100	4.97	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	18100	4.63	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	13000	4.535	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	8900	4.44	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	5100	4.1	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	4.1	0	0.004	21	7	7	3000	7.57E+05	1.97E+05	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
