-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model. Documentation from R. Boysseu was unclear which date this was taken from"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)	O2z	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POPz (mg/m3)
0	50000	0	0.030802093	0.004	19.15603158	1.15E-04	0.030802093	4026.786416	7.57E+05	1.97E+05	0.92	0.218541991	0.070371214	10286.83458	23212.2686	4289.387818	0.041588335	3375.100453	4.20E-05	3.36765000000000e-319	3.80E-10	1196.563648	5.251716328	0	1.2094859	0	0	0	0	3.19E-111
1	41700	4.839665114	0.912232567	0.004	21.46553759	2.79E-04	0.912232567	4053.540969	7.57E+05	1.97E+05	0.92	0	0	9247.489818	25763.06111	4185.695827	1.885160353	3309.276512	5.00E-04	3.36765000000000e-319	5.59E-07	1191.418608	5.297445084	2.09E-08	5.149645364	0	0	0	0	1.32E-109
2	33000	4.839665114	0.945981082	0.004	21.50399605	2.67E-04	0.945981082	4056.828162	7.57E+05	1.97E+05	0.92	0	0	9235.970407	25788.43417	4193.999974	1.233110562	3308.863393	3.48E-04	3.36765000000000e-319	3.60E-07	1191.351675	5.297445084	1.34E-08	5.306486823	0	0	0	0	1.37E-109
3	28500	4.824967264	1.439104614	0.004	23.16896128	2.44E-04	1.439104614	4058.291333	7.57E+05	1.97E+05	0.92	0	0	8657.832633	27355.11914	4213.587718	0.812331846	3291.006971	2.58E-04	3.36765000000000e-319	2.33E-07	1189.956133	5.297815455	8.53E-09	6.708711103	0	0	0	0	2.34E-109
4	26000	4.602048152	2.62842927	0.004	25.85275336	0.000289651	2.62842927	4054.089591	7.57E+05	1.97E+05	0.92	0	0	7696.485981	29698.62797	4136.592623	1.027347494	3264.423599	3.29E-04	3.36765000000000e-319	3.03E-07	1188.44839	5.298116861	1.09E-08	9.64984805	0	0	0	0	5.04E-109
5	23100	4.401570723	3.810073011	0.004	28.25036508	0.000445901	3.810073011	4049.31403	7.57E+05	1.97E+05	0.92	0	0	6771.975428	31979.69576	3890.504036	1.979836003	3239.773784	0.000584348	3.36765000000000e-319	6.03E-07	1187.885019	5.298116861	2.18E-08	12.40101783	0	0	0	0	8.29E-109
6	18100	4.281409082	4.76456603	0.004	30.50071133	0.00063162	4.76456603	4046.521992	7.57E+05	1.97E+05	0.92	0	0	5861.045094	34349.87307	3550.470325	2.606820394	3214.715309	0.000788064	3.36765000000000e-319	8.11E-07	1187.699208	5.298116861	2.88E-08	14.6786633	0	0	0	0	1.15E-108
7	13000	4.222778207	5.4428741	0.004	32.6326518	0.00084799	5.4428741	4045.306888	7.57E+05	1.97E+05	0.92	0	0	4954.640308	36818.00663	3157.897107	2.949956688	3188.31516	0.000971512	3.36765000000000e-319	9.45E-07	1187.640379	5.298116861	3.26E-08	16.46599615	0	0	0	0	1.43E-108
8	8900	4.203816196	5.913884189	0.004	34.96124094	0.001340954	5.913884189	4045.028917	7.57E+05	1.97E+05	0.92	0	0	3838.766021	39671.18354	2618.446381	4.112992076	3152.265284	0.001541979	3.36765000000000e-319	1.38E-06	1187.623886	5.298116861	4.55E-08	17.9437103	0	0	0	0	1.68E-108
9	5100	4.202634418	5.982656373	0.004	35.41585578	0.001536218	5.982656373	4045.122586	7.57E+05	1.97E+05	0.92	0	0	3611.677374	40273.18575	2468.331398	11.18925444	3143.459877	0.003251585	3.36765000000000e-319	3.56E-06	1187.622788	5.298116861	1.27E-07	18.17249513	0	0	0	0	1.72E-108
10	0	4.202601868	5.986021847	0.004	36.07105255	0.001959312	5.986021847	4045.467582	7.57E+05	1.97E+05	0.92	0	0	3281.297909	41260.33948	2183.830986	33.22562667	3128.412777	0.008402548	3.36765000000000e-319	1.03E-05	1187.62276	5.298116861	3.81E-07	18.18381536	0	0	0	0	1.73E-108
