-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model. Documentation from R. Boysseu was unclear which date this was taken from"																													
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	"Fvol_IM (m3/m3, dry w.)"	Hice (m)	Hsnow (m)	O2z	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POPz (mg/m3)
0	50000	0	0.005442407	0.004	2.913317815	1.07E-04	0.005442407	4020.313356	7.57E+05	1.97E+05	0.92	0.247949491	0.080670202	9746.964943	22817.08446	3332.945344	0.043815028	3597.726651	5.96E-05	3.36765000000000e-319	5.08E-10	1199.498727	5.24579175	0	1.207829751	0	0	0	0	1.50E-112
1	41700	4.889777116	0.052752018	0.004	2.897608286	2.59E-04	0.052752018	4042.230549	7.57E+05	1.97E+05	0.92	0	0	8949.220283	25520.6629	3278.884036	0.471156516	3541.624963	0.000187277	3.36765000000000e-319	3.71E-07	1194.007742	5.29264951	2.47E-08	5.289271758	0	0	0	0	6.78E-111
2	33000	4.889777116	0.054252563	0.004	2.89789463	2.48E-04	0.054252563	4045.235472	7.57E+05	1.97E+05	0.92	0	0	8948.462251	25546.95361	3282.518942	0.32693334	3541.322878	0.000156793	3.36765000000000e-319	2.39E-07	1193.963325	5.29264951	1.59E-08	5.441640782	0	0	0	0	7.03E-111
3	28500	4.889777116	0.056752861	0.004	2.909771417	2.40E-04	0.056752861	4043.585081	7.57E+05	1.97E+05	0.92	0	0	8863.405729	26004.29024	3279.87023	0.233453193	3537.863681	0.000138822	3.36765000000000e-319	1.54E-07	1193.649472	5.29264951	1.01E-08	5.613733982	0	0	0	0	7.71E-111
4	26000	4.713004132	0.106702041	0.004	3.03375264	0.000271853	0.106702041	4028.839999	7.57E+05	1.97E+05	0.92	0	0	7963.610299	29235.31064	3201.287787	0.286398191	3504.235284	0.00017356	3.36765000000000e-319	2.00E-07	1190.805154	5.295426452	1.29E-08	8.888047741	0	0	0	0	2.24E-110
5	23100	4.501810211	0.149640176	0.004	3.13020921	0.00041787	0.149640176	4015.431717	7.57E+05	1.97E+05	0.92	0	0	7318.764482	31377.81146	3040.130651	0.500553805	3487.523447	0.000244728	3.36765000000000e-319	3.95E-07	1189.862942	5.295426452	2.57E-08	11.65791358	0	0	0	0	3.95E-110
6	18100	4.363946219	0.182060071	0.004	3.220782904	0.000592809	0.182060071	4006.637034	7.57E+05	1.97E+05	0.92	0	0	6727.236584	33361.20456	2829.25739	0.642725932	3475.57847	0.000310111	3.36765000000000e-319	5.25E-07	1189.533384	5.295426452	3.40E-08	13.90747046	0	0	0	0	5.74E-110
7	13000	4.290738181	0.204732546	0.004	3.306151075	0.000797781	0.204732546	4001.310025	7.57E+05	1.97E+05	0.92	0	0	6138.255064	35356.26385	2586.348559	0.722498727	3464.642602	0.000378438	3.36765000000000e-319	5.99E-07	1189.40733	5.295426452	3.85E-08	15.73455831	0	0	0	0	7.46E-110
8	8900	4.263808989	0.219668007	0.004	3.381990446	0.001191279	0.219668007	3998.544379	7.57E+05	1.97E+05	0.92	0	0	5481.68431	37415.37969	2288.765875	0.981752972	3452.108465	0.000520317	3.36765000000000e-319	8.38E-07	1189.361706	5.295426452	5.37E-08	17.24228609	0	0	0	0	9.06E-110
9	5100	4.261726759	0.224464124	0.004	3.409343799	0.001577279	0.224464124	3997.9017	7.57E+05	1.97E+05	0.92	0	0	5139.063312	38451.81598	2117.789886	2.551985442	3444.954921	0.000907823	3.36765000000000e-319	2.27E-06	1189.354241	5.295426452	1.50E-07	17.7850025	0	0	0	0	9.66E-110
10	0	4.261669407	0.224698864	0.004	3.421861372	0.001981811	0.224698864	3998.128842	7.57E+05	1.97E+05	0.92	0	0	4906.056445	38960.51626	1978.177127	7.429585436	3439.480948	0.001949931	3.36765000000000e-319	6.72E-06	1189.354041	5.295426452	4.49E-07	17.81185596	0	0	0	0	9.69E-110
