-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model"																															
Year	Month	Day	Global_rad (MJ/m2)	Cloud_cov (-)	Air_temp (deg C)	Relat_hum (%)	Air_press (hPa)	Wind_speed_L227_10m (m/s)	Precipitation (mm/day)	Inflow (m3/day)	Inflow_T (deg C)	Inflow_C	Inflow_S (kg/m3)	Inflow_TP (mg/m3)	Inflow_DOP (mg/m3)	Inflow_Chla (mg/m3)	Inflow_DOC (mg/m3)	Inflow_DIC	Inflow_O	Inflow_NO3 (mg/m3)	Inflow_NH4 (mg/m3)	Inflow_SO4 (mg/m3)	Inflow_Fe2 (mg/m3)	Inflow_Ca2 (mg/m3)	Inflow_pH	Inflow_CH4	Inflow_Fe3	Inflow_Al3	Inflow_SiO4	Inflow_SiO2	Inflow_diatom	Inflow_POC (kg/m3)
1969	6	27	NaN	0.662	12.25	82	956	2.434770401	1.3	637	14.23	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	6	28	NaN	0.838	12.2	92	953	1.766006688	2	980	14.18	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	6	29	NaN	1	14.45	80	953	1.525916121	0.5	245	16.03	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	6	30	NaN	0.962	11.4	89	953	NaN	0	0	13.53	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	1	NaN	1	12.2	88	956	NaN	1	490	14.18	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	2	NaN	1	13.9	88	956	NaN	0	0	15.58	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	3	NaN	1	15.3	77	957	NaN	6.1	2989	16.73	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	4	NaN	1	13.05	81	956	NaN	20.8	10192	14.88	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	5	NaN	1	11.4	88	949	NaN	0	0	13.53	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	6	NaN	1	13.6	92	954	NaN	0	0	15.33	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	7	NaN	1	16.7	93	946	NaN	0	0	17.87	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	8	NaN	1	14.7	93	951	2.095929258	0	0	16.23	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	9	NaN	0.875	19.45	98	947	1.939595723	1.3	637	20.13	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	10	NaN	0.912	19.7	96	939	1.365123299	0	0	20.33	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	11	NaN	0.625	20.55	78	929	0.665726228	0	0	21.03	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	12	NaN	0.162	25.25	97	936	2.304610938	0.8	392	24.89	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	13	NaN	0.338	23.05	93	942	1.164649291	8.1	3969	23.08	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	14	NaN	0.412	21.1	90	936	0.760793044	2.5	1225	21.48	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	15	NaN	0.338	22.8	96	941	0.842934393	0	0	22.88	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	16	NaN	0.088	20	84	950	1.584985509	0	0	20.58	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	17	NaN	0.212	18.9	95	948	0.981366155	0	0	19.68	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	18	NaN	0.25	19.7	97	952	0.528089382	0	0	20.33	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	19	NaN	0.662	19.4	97	946	1.142223604	0	0	20.09	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	20	NaN	1	19.45	97	932	1.259651481	0	0	20.13	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	21	NaN	0.912	18.3	95	939	1.419733401	7.6	3724	19.19	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	22	NaN	0.625	17.5	95	943	1.693494813	25.4	12446	18.53	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	23	NaN	0.962	18.6	98	943	1.338949227	0	0	19.43	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	24	NaN	0.962	19.15	92	942	0.897609123	3.3	1617	19.88	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	25	NaN	0.538	16.95	94	937	1.177380877	0	0	18.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	26	NaN	0.625	16.1	92	944	1.140672548	14.5	7105	17.38	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	27	NaN	0.875	20.55	89	942	1.801939489	0	0	21.03	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	7	28	NaN	0.462	20	92	947	1.426454645	0	0	20.58	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
