location,sublocation,station,date,mean.daily.discharge,qualifier.code,data.set,alt.name
239,NET,HQNE,1/1/71,0,E,H04,NEIF
239,NET,HQNE,1/2/71,0,I,H04,NEIF
239,NET,HQNE,1/3/71,0,I,H04,NEIF
239,NET,HQNE,1/4/71,0,I,H04,NEIF
239,NET,HQNE,1/5/71,0,I,H04,NEIF
239,NET,HQNE,1/6/71,0,I,H04,NEIF
239,NET,HQNE,1/7/71,0,I,H04,NEIF
239,NET,HQNE,1/8/71,0,I,H04,NEIF
239,NET,HQNE,1/9/71,0,I,H04,NEIF
239,NET,HQNE,1/10/71,0,I,H04,NEIF
239,NET,HQNE,1/11/71,0,I,H04,NEIF
239,NET,HQNE,1/12/71,0,I,H04,NEIF
239,NET,HQNE,1/13/71,0,I,H04,NEIF
239,NET,HQNE,1/14/71,0,I,H04,NEIF
239,NET,HQNE,1/15/71,0,I,H04,NEIF
239,NET,HQNE,1/16/71,0,I,H04,NEIF
239,NET,HQNE,1/17/71,0,I,H04,NEIF
239,NET,HQNE,1/18/71,0,I,H04,NEIF
239,NET,HQNE,1/19/71,0,I,H04,NEIF
239,NET,HQNE,1/20/71,0,I,H04,NEIF
239,NET,HQNE,1/21/71,0,I,H04,NEIF
239,NET,HQNE,1/22/71,0,I,H04,NEIF
239,NET,HQNE,1/23/71,0,I,H04,NEIF
239,NET,HQNE,1/24/71,0,I,H04,NEIF
239,NET,HQNE,1/25/71,0,I,H04,NEIF
239,NET,HQNE,1/26/71,0,I,H04,NEIF
239,NET,HQNE,1/27/71,0,I,H04,NEIF
239,NET,HQNE,1/28/71,0,I,H04,NEIF
239,NET,HQNE,1/29/71,0,I,H04,NEIF
239,NET,HQNE,1/30/71,0,I,H04,NEIF
239,NET,HQNE,1/31/71,0,I,H04,NEIF
239,NET,HQNE,2/1/71,0,E,H04,NEIF
239,NET,HQNE,2/2/71,0,I,H04,NEIF
239,NET,HQNE,2/3/71,0,I,H04,NEIF
239,NET,HQNE,2/4/71,0,I,H04,NEIF
239,NET,HQNE,2/5/71,0,I,H04,NEIF
239,NET,HQNE,2/6/71,0,I,H04,NEIF
239,NET,HQNE,2/7/71,0,I,H04,NEIF
239,NET,HQNE,2/8/71,0,I,H04,NEIF
239,NET,HQNE,2/9/71,0,I,H04,NEIF
239,NET,HQNE,2/10/71,0,I,H04,NEIF
239,NET,HQNE,2/11/71,0,I,H04,NEIF
239,NET,HQNE,2/12/71,0,I,H04,NEIF
239,NET,HQNE,2/13/71,0,I,H04,NEIF
239,NET,HQNE,2/14/71,0,I,H04,NEIF
239,NET,HQNE,2/15/71,0,I,H04,NEIF
239,NET,HQNE,2/16/71,0,I,H04,NEIF
239,NET,HQNE,2/17/71,0,I,H04,NEIF
239,NET,HQNE,2/18/71,0,I,H04,NEIF
239,NET,HQNE,2/19/71,0,I,H04,NEIF
239,NET,HQNE,2/20/71,0,I,H04,NEIF
239,NET,HQNE,2/21/71,0,I,H04,NEIF
239,NET,HQNE,2/22/71,0,I,H04,NEIF
239,NET,HQNE,2/23/71,0,I,H04,NEIF
239,NET,HQNE,2/24/71,0,I,H04,NEIF
239,NET,HQNE,2/25/71,0,I,H04,NEIF
239,NET,HQNE,2/26/71,0,I,H04,NEIF
239,NET,HQNE,2/27/71,0,I,H04,NEIF
239,NET,HQNE,2/28/71,0,I,H04,NEIF
239,NET,HQNE,3/1/71,0,E,H04,NEIF
239,NET,HQNE,3/2/71,0,I,H04,NEIF
239,NET,HQNE,3/3/71,0,I,H04,NEIF
239,NET,HQNE,3/4/71,0,I,H04,NEIF
239,NET,HQNE,3/5/71,0,I,H04,NEIF
239,NET,HQNE,3/6/71,0,I,H04,NEIF
239,NET,HQNE,3/7/71,0,I,H04,NEIF
239,NET,HQNE,3/8/71,0,I,H04,NEIF
239,NET,HQNE,3/9/71,0,I,H04,NEIF
239,NET,HQNE,3/10/71,0,I,H04,NEIF
239,NET,HQNE,3/11/71,0,I,H04,NEIF
239,NET,HQNE,3/12/71,0,I,H04,NEIF
239,NET,HQNE,3/13/71,0,I,H04,NEIF
239,NET,HQNE,3/14/71,0,I,H04,NEIF
239,NET,HQNE,3/15/71,0,I,H04,NEIF
239,NET,HQNE,3/16/71,0,I,H04,NEIF
239,NET,HQNE,3/17/71,0,I,H04,NEIF
