location,sublocation,station,measurement.date,rainfall,snow.water.equiv,trace,total.precip,data.set,update.date
239,AIR,MET,6/27/69,1.3,0,,1.3,M01,24/03/1994
239,AIR,MET,6/28/69,2,0,,2,M01,24/03/1994
239,AIR,MET,6/29/69,0.5,0,,0.5,M01,24/03/1994
239,AIR,MET,6/30/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/1/69,1,0,,1,M01,24/03/1994
239,AIR,MET,7/2/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/3/69,6.1,0,,6.1,M01,24/03/1994
239,AIR,MET,7/4/69,20.8,0,,20.8,M01,24/03/1994
239,AIR,MET,7/5/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/6/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/7/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/8/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/9/69,1.3,0,,1.3,M01,24/03/1994
239,AIR,MET,7/10/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/11/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/12/69,0.8,0,,0.8,M01,24/03/1994
239,AIR,MET,7/13/69,8.1,0,,8.1,M01,24/03/1994
239,AIR,MET,7/14/69,2.5,0,,2.5,M01,24/03/1994
239,AIR,MET,7/15/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/16/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/17/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/18/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/19/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/20/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/21/69,7.6,0,,7.6,M01,24/03/1994
239,AIR,MET,7/22/69,25.4,0,,25.4,M01,24/03/1994
239,AIR,MET,7/23/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/24/69,3.3,0,,3.3,M01,24/03/1994
239,AIR,MET,7/25/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/26/69,14.5,0,,14.5,M01,24/03/1994
239,AIR,MET,7/27/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/28/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/29/69,0,0,,0,M01,24/03/1994
239,AIR,MET,7/30/69,38.9,0,,38.9,M01,24/03/1994
239,AIR,MET,7/31/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/1/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/2/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/3/69,8.6,0,,8.6,M01,24/03/1994
239,AIR,MET,8/4/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/5/69,0,0,TR,0,M01,24/03/1994
239,AIR,MET,8/6/69,31.5,0,,31.5,M01,24/03/1994
239,AIR,MET,8/7/69,11.4,0,,11.4,M01,24/03/1994
239,AIR,MET,8/8/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/9/69,10.4,0,,10.4,M01,24/03/1994
239,AIR,MET,8/10/69,0,0,TR,0,M01,24/03/1994
239,AIR,MET,8/11/69,0,0,TR,0,M01,24/03/1994
239,AIR,MET,8/12/69,27.9,0,,27.9,M01,24/03/1994
239,AIR,MET,8/13/69,2.5,0,,2.5,M01,24/03/1994
239,AIR,MET,8/14/69,1,0,,1,M01,24/03/1994
239,AIR,MET,8/15/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/16/69,1.3,0,,1.3,M01,24/03/1994
239,AIR,MET,8/17/69,0.3,0,,0.3,M01,24/03/1994
239,AIR,MET,8/18/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/19/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/20/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/21/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/22/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/23/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/24/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/25/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/26/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/27/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/28/69,0.3,0,,0.3,M01,24/03/1994
239,AIR,MET,8/29/69,39.1,0,,39.1,M01,24/03/1994
239,AIR,MET,8/30/69,0,0,,0,M01,24/03/1994
239,AIR,MET,8/31/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/1/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/2/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/3/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/4/69,1,0,,1,M01,24/03/1994
239,AIR,MET,9/5/69,13.2,0,,13.2,M01,24/03/1994
239,AIR,MET,9/6/69,1.3,0,,1.3,M01,24/03/1994
239,AIR,MET,9/7/69,1,0,,1,M01,24/03/1994
239,AIR,MET,9/8/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/9/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/10/69,2.8,0,,2.8,M01,24/03/1994
239,AIR,MET,9/11/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/12/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/13/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/14/69,18.3,0,,18.3,M01,24/03/1994
239,AIR,MET,9/15/69,5.1,0,,5.1,M01,24/03/1994
239,AIR,MET,9/16/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/17/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/18/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/19/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/20/69,0,0,TR,0,M01,24/03/1994
239,AIR,MET,9/21/69,8.4,0,,8.4,M01,24/03/1994
239,AIR,MET,9/22/69,2,0,,2,M01,24/03/1994
239,AIR,MET,9/23/69,0,0,,0,M01,24/03/1994
239,AIR,MET,9/24/69,17.8,0,,17.8,M01,24/03/1994
239,AIR,MET,9/25/69,5.6,0,,5.6,M01,24/03/1994
239,AIR,MET,9/26/69,3.6,0,,3.6,M01,24/03/1994
239,AIR,MET,9/27/69,1,0,,1,M01,24/03/1994
239,AIR,MET,9/28/69,6.4,0,,6.4,M01,24/03/1994
239,AIR,MET,9/29/69,1.3,0,,1.3,M01,24/03/1994
239,AIR,MET,9/30/69,3.8,0,,3.8,M01,24/03/1994
239,AIR,MET,10/1/69,2,0,,2,M01,24/03/1994
239,AIR,MET,10/2/69,1.3,0,,1.3,M01,24/03/1994
239,AIR,MET,10/3/69,2.3,0,,2.3,M01,24/03/1994
239,AIR,MET,10/4/69,30.2,0,,30.2,M01,24/03/1994
239,AIR,MET,10/5/69,3.6,0,,3.6,M01,24/03/1994
239,AIR,MET,10/6/69,1.5,0,,1.5,M01,24/03/1994
239,AIR,MET,10/7/69,2.5,0,,2.5,M01,24/03/1994
239,AIR,MET,10/8/69,0.3,0,,0.3,M01,24/03/1994
239,AIR,MET,10/9/69,4.8,0,,4.8,M01,24/03/1994
239,AIR,MET,10/10/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/11/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/12/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/13/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/14/69,0,1.5,,1.5,M01,24/03/1994
239,AIR,MET,10/15/69,0.3,0,,0.3,M01,24/03/1994
239,AIR,MET,10/16/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/17/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/18/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/19/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/20/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/21/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/22/69,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,10/23/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,10/24/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/25/69,0,1,,1,M01,24/03/1994
239,AIR,MET,10/26/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/27/69,0,0.8,,0.8,M01,24/03/1994
239,AIR,MET,10/28/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/29/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/30/69,0,0,,0,M01,24/03/1994
239,AIR,MET,10/31/69,1.8,0,,1.8,M01,24/03/1994
239,AIR,MET,11/1/69,2.3,0,,2.3,M01,24/03/1994
239,AIR,MET,11/2/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/3/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/4/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/5/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/6/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/7/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/8/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/9/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/10/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,11/11/69,0,3,,3,M01,24/03/1994
239,AIR,MET,11/12/69,0,1.8,,1.8,M01,24/03/1994
239,AIR,MET,11/13/69,0,6.9,,6.9,M01,24/03/1994
239,AIR,MET,11/14/69,0,2.5,,2.5,M01,24/03/1994
239,AIR,MET,11/15/69,0,1,,1,M01,24/03/1994
239,AIR,MET,11/16/69,0,1.3,,1.3,M01,24/03/1994
239,AIR,MET,11/17/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/18/69,0,0.8,,0.8,M01,24/03/1994
239,AIR,MET,11/19/69,0,1.3,,1.3,M01,24/03/1994
239,AIR,MET,11/20/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/21/69,0,1,,1,M01,24/03/1994
239,AIR,MET,11/22/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/23/69,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,11/24/69,0,0.5,,0.5,M01,24/03/1994
239,AIR,MET,11/25/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,11/26/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/27/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/28/69,0,0,,0,M01,24/03/1994
239,AIR,MET,11/29/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,11/30/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/1/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/2/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/3/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/4/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/5/69,0,4.8,,4.8,M01,24/03/1994
239,AIR,MET,12/6/69,0,2.8,,2.8,M01,24/03/1994
239,AIR,MET,12/7/69,0,9.1,,9.1,M01,24/03/1994
239,AIR,MET,12/8/69,0,4.6,,4.6,M01,24/03/1994
239,AIR,MET,12/9/69,0,0.8,,0.8,M01,24/03/1994
239,AIR,MET,12/10/69,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,12/11/69,0,5.1,,5.1,M01,24/03/1994
239,AIR,MET,12/12/69,0,0.5,,0.5,M01,24/03/1994
239,AIR,MET,12/13/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/14/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/15/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/16/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/17/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/18/69,0,0.5,,0.5,M01,24/03/1994
239,AIR,MET,12/19/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,12/20/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,12/21/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/22/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,12/23/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/24/69,0,5.6,,5.6,M01,24/03/1994
239,AIR,MET,12/25/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,12/26/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,12/27/69,0,0,,0,M01,24/03/1994
239,AIR,MET,12/28/69,0,2,,2,M01,24/03/1994
239,AIR,MET,12/29/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,12/30/69,0,0,TS,0,M01,24/03/1994
239,AIR,MET,12/31/69,0,0.8,,0.8,M01,24/03/1994
239,AIR,MET,1/1/70,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,1/2/70,0,1,,1,M01,24/03/1994
239,AIR,MET,1/3/70,0,2.8,,2.8,M01,24/03/1994
239,AIR,MET,1/4/70,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,1/5/70,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,1/6/70,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,1/7/70,0,1.5,,1.5,M01,24/03/1994
239,AIR,MET,1/8/70,0,0.8,,0.8,M01,24/03/1994
239,AIR,MET,1/9/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/10/70,0,4.8,,4.8,M01,24/03/1994
239,AIR,MET,1/11/70,0,0.5,,0.5,M01,24/03/1994
239,AIR,MET,1/12/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/13/70,0,0.5,,0.5,M01,24/03/1994
239,AIR,MET,1/14/70,0,8.1,,8.1,M01,24/03/1994
239,AIR,MET,1/15/70,0,1.5,,1.5,M01,24/03/1994
239,AIR,MET,1/16/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/17/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/18/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/19/70,0,1,,1,M01,24/03/1994
239,AIR,MET,1/20/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/21/70,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,1/22/70,0,0,TS,0,M01,24/03/1994
239,AIR,MET,1/23/70,0,1.5,,1.5,M01,24/03/1994
239,AIR,MET,1/24/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/25/70,0,0.8,,0.8,M01,24/03/1994
239,AIR,MET,1/26/70,0,0,TS,0,M01,24/03/1994
239,AIR,MET,1/27/70,0,3.3,,3.3,M01,24/03/1994
239,AIR,MET,1/28/70,0,0,TS,0,M01,24/03/1994
239,AIR,MET,1/29/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/30/70,0,0,,0,M01,24/03/1994
239,AIR,MET,1/31/70,0,2,,2,M01,24/03/1994
239,AIR,MET,2/1/70,0,4.1,,4.1,M01,24/03/1994
239,AIR,MET,2/2/70,0,0.3,,0.3,M01,24/03/1994
239,AIR,MET,2/3/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/4/70,0,1,,1,M01,24/03/1994
239,AIR,MET,2/5/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/6/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/7/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/8/70,0,0.5,,0.5,M01,24/03/1994
239,AIR,MET,2/9/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/10/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/11/70,0,1,,1,M01,24/03/1994
239,AIR,MET,2/12/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/13/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/14/70,0,1,,1,M01,24/03/1994
239,AIR,MET,2/15/70,0,6.4,,6.4,M01,24/03/1994
239,AIR,MET,2/16/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/17/70,0,7.1,,7.1,M01,24/03/1994
239,AIR,MET,2/18/70,0,0.5,,0.5,M01,24/03/1994
239,AIR,MET,2/19/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/20/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/21/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/22/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/23/70,0,0,,0,M01,24/03/1994
239,AIR,MET,2/24/70,0,3,,3,M01,24/03/1994
