Year,Month,Day,TotalRadiaton,AirTemp,Humidity,AirPressure,WindSpeed,Precipitation
1969,6,27,26.19,12.25,82,971,3.8,1.3
1969,6,28,24.65,12.2,92,971,2.7,2
1969,6,29,27.90,14.45,80,971,NA,0.5
1969,6,30,27.92,11.4,89,971,NA,0
1969,7,1,28.28,12.2,88,971,NA,1
1969,7,2,26.71,13.9,88,971,NA,0
1969,7,3,27.30,15.3,77,971,NA,6.1
1969,7,4,28.43,13.05,81,971,NA,20.8
1969,7,5,24.18,11.4,88,971,NA,0
1969,7,6,29.51,13.6,92,971,NA,0
1969,7,7,29.27,16.7,93,971,NA,0
1969,7,8,28.30,14.7,93,971,NA,0
1969,7,9,32.37,19.45,98,972,3,1.3
1969,7,10,33.40,19.7,96,972,2.1,0
1969,7,11,28.39,20.55,78,972,1,0
1969,7,12,26.49,25.25,97,973,3.6,0.8
1969,7,13,26.70,23.05,93,972,1.8,8.1
1969,7,14,28.68,21.1,90,972,NA,2.5
1969,7,15,29.30,22.8,96,972,NA,0
1969,7,16,28.38,20,84,972,2.4,0
1969,7,17,26.17,18.9,95,972,1.5,0
1969,7,18,28.75,19.7,97,972,0.8,0
1969,7,19,29.35,19.4,97,972,1.8,0
1969,7,20,28.72,19.45,97,972,1.9,0
1969,7,21,29.57,18.3,95,972,2.2,7.6
1969,7,22,31.32,17.5,95,972,2.6,25.4
1969,7,23,26.29,18.6,98,972,2.1,0
1969,7,24,28.20,19.15,92,972,1.4,3.3
1969,7,25,28.94,16.95,94,971,1.8,0
1969,7,26,29.16,16.1,92,971,1.8,14.5
1969,7,27,27.24,20.55,89,972,2.8,0
1969,7,28,28.68,20,92,972,2.2,0
1969,7,29,29.06,20.55,95,972,1.2,0
1969,7,30,26.03,19.45,97,972,1.9,38.9
1969,7,31,28.43,17.5,97,972,3.2,0
1969,8,1,27.22,18.9,93,972,1.9,0
1969,8,2,28.32,21.1,93,972,2,0
1969,8,3,28.70,19.7,94,972,1.9,8.6
1969,8,4,29.65,19.7,85,972,1.8,0
1969,8,5,29.83,20,83,972,1.7,0
1969,8,6,27.90,18.35,95,972,2.4,31.5
1969,8,7,28.24,14.45,92,971,2.9,11.4
1969,8,8,27.29,16.65,96,971,2.1,0
1969,8,9,24.85,18.05,67,972,1.1,10.4
1969,8,10,26.90,22.25,84,972,1.6,0
1969,8,11,28.95,23.9,94,972,3,0
1969,8,12,27.03,21.1,92,972,2.6,27.9
1969,8,13,28.30,21.1,96,972,3.6,2.5
1969,8,14,24.22,16.4,94,971,4,1
1969,8,15,26.98,19.45,91,972,2.8,0
1969,8,16,26.64,18.9,83,972,1.2,1.3
1969,8,17,26.50,19.15,88,972,2.2,0.3
1969,8,18,25.41,15.3,71,971,2.1,0
1969,8,19,27.06,16.4,69,971,1.6,0
1969,8,20,27.97,16.95,85,971,1.8,0
1969,8,21,25.29,19.45,90,972,2.6,0
1969,8,22,24.47,23.35,91,972,3.2,0
1969,8,23,23.85,25.25,91,973,2.5,0
1969,8,24,24.36,23.05,83,972,2.1,0
1969,8,25,24.17,22.5,82,972,1.9,0
1969,8,26,24.82,23.05,92,972,3.1,0
1969,8,27,24.90,21.35,98,972,2.6,0
1969,8,28,24.34,20.85,89,972,2,0.3
1969,8,29,23.77,23.3,92,972,3.3,39.1
1969,8,30,25.87,16.35,97,971,2.7,0
1969,8,31,22.24,15.25,83,971,1.1,0
1969,9,1,23.51,16.7,81,971,NA,0
1969,9,2,22.34,17.5,81,972,1.7,0
1969,9,3,21.19,20.85,80,972,2.3,0
1969,9,4,22.98,20,75,972,3.7,1
1969,9,5,23.11,18.9,81,972,1.9,13.2
1969,9,6,22.92,17.2,79,971,2,1.3
1969,9,7,23.99,13.05,79,971,2.3,1
1969,9,8,22.37,10.55,71,971,1.8,0
1969,9,9,22.97,10,83,970,1.2,0
1969,9,10,20.98,12.5,96,971,1.9,2.8
1969,9,11,20.26,11.1,97,971,2.9,0
1969,9,12,20.05,15,89,971,1.6,0
1969,9,13,20.09,17.5,94,972,2.1,0
1969,9,14,19.66,19.75,93,972,NA,18.3
1969,9,15,22.41,13.65,80,971,NA,5.1
1969,9,16,21.15,11.1,75,971,2,0
1969,9,17,19.91,7.2,74,970,1.3,0
1969,9,18,17.81,9.7,65,970,NA,0
1969,9,19,18.18,14.15,67,971,5.2,0
1969,9,20,20.01,16.65,67,971,4.2,0
1969,9,21,18.03,18.6,72,972,3.8,8.4
1969,9,22,18.44,12.5,70,971,2.7,2
1969,9,23,21.91,3.9,77,970,2.9,0
1969,9,24,20.01,6.1,76,970,2.4,17.8
1969,9,25,19.46,NaN,76,NaN,2,5.6
1969,9,26,20.01,8.35,85,970,1,3.6
1969,9,27,16.07,7.8,75,970,1.7,1
1969,9,28,15.86,6.1,79,970,1.9,6.4
1969,9,29,19.07,8.65,77,970,3.1,1.3
1969,9,30,18.01,4.2,76,970,2.4,3.8
1969,10,1,19.60,6.35,66,970,2.2,2
1969,10,2,18.41,6.65,67,970,1,1.3
1969,10,3,16.86,10.3,64,970,4,2.3
1969,10,4,17.43,12.75,70,971,2.3,30.2
1969,10,5,13.32,5.85,44,970,1.2,3.6
1969,10,6,16.20,5.55,40,970,3.3,1.5
1969,10,7,14.42,3.65,61,969,3,2.5
1969,10,8,15.91,3.85,68,970,3.2,0.3
1969,10,9,16.56,7.25,60,970,2.8,4.8
1969,10,10,14.30,1.95,65,969,5.1,0
1969,10,11,14.26,0.25,64,969,2.4,0
1969,10,12,13.12,2.5,63,969,1.5,0
1969,10,13,13.86,0.55,64,969,2.5,0
1969,10,14,15.37,1.35,66,969,3.3,1.5
1969,10,15,13.99,2.75,61,969,1.3,0.3
1969,10,16,13.78,0.85,65,969,2.9,0
1969,10,17,12.49,1.1,59,969,2.8,0
1969,10,18,12.46,2.8,61,969,2.6,0
1969,10,19,12.77,0.3,67,969,2,0
1969,10,20,12.91,0.3,61,969,2.5,0
1969,10,21,12.42,-3.35,66,968,2.6,0
1969,10,22,13.01,-4.2,57,968,2.1,0.3
1969,10,23,11.14,-4.15,55,968,2,0
1969,10,24,10.59,-0.3,62,969,2.7,0
1969,10,25,12.40,-1.7,67,969,2.5,1
1969,10,26,10.47,-4.45,65,968,2.4,0
1969,10,27,10.02,-2.5,68,968,1.8,0.8
