skip 																														
 Z (m)	  Az (m2)	 Tz (deg C)	  Cz(mg/m3)	  Sz (kg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	"   Fvol_IM (m3/m3, dry w.)"	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4z (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 SiO4z (mg/m3)	 SiO2z (mg/m3)	 diatomz (mg/m3)	 POCz (mg/m3)
0	1.20E+07	1.8676	0.0071338	0.0049767	25.339	3.3117	0.0071338	587.78	0	0	0	0	0	0.25486	1044.6	0	9798.6	806.24	1688.4	0	357.56	1424.1	2.0172	0	69.447	0	4.9997	0	1149.6	2703.6
0.5	1.15E+07	1.8676	0.0070581	0.0049767	25.339	3.3117	0.0070581	587.78	0	0	0	0	0	0.21749	1044.6	0	9798.5	806.21	1688.5	0	357.57	1424.1	2.0172	0	69.431	0	4.9997	0	1149.6	2703.6
1	1.03E+07	1.8676	0.0070131	0.0049767	25.339	3.3118	0.0070131	587.78	0	0	0	0	0	0.13343	1044.6	0	9798.3	806.13	1688.5	0	357.59	1424.1	2.0172	0	69.396	0	4.9997	0	1149.6	2703.6
1.5	9.08E+06	1.8676	0.0069864	0.0049767	25.339	3.3118	0.0069864	587.79	0	0	0	0	0	0.02577	1044.6	0	9798.1	806.03	1688.5	0	357.61	1424.1	2.0172	0	69.35	0	4.9997	0	1149.6	2703.6
2	8.26E+06	1.8676	0.0069705	0.0049767	25.339	3.3118	0.0069705	587.79	0	0	0	0	0	0	1044.6	0.017976	9798	805.99	1688.5	0	357.62	1424.1	2.0172	0	69.332	0	4.9997	0	1149.6	2703.6
2.5	7.44E+06	1.8676	0.0069609	0.0049767	25.339	3.3118	0.0069609	587.79	0	0	0	0	0	0	1044.6	0.035445	9798	805.97	1688.5	0	357.62	1424.1	2.0172	0	69.326	0	4.9997	0	1149.6	2703.6
3	6.63E+06	1.8676	0.0069552	0.0049767	25.339	3.3118	0.0069552	587.79	0	0	0	0	0	0	1044.6	0.045766	9798	805.96	1688.5	0	357.63	1424.1	2.0172	0	69.322	0	4.9997	0	1149.6	2703.6
3.5	5.81E+06	1.8676	0.0069518	0.0049767	25.339	3.3118	0.0069518	587.79	0	0	0	0	0	0	1044.6	0.051894	9798	805.96	1688.5	0	357.63	1424.1	2.0172	0	69.32	0	4.9997	0	1149.6	2703.6
4	4.79E+06	1.8676	0.0069498	0.0049767	25.339	3.3118	0.0069498	587.79	0	0	0	0	0	0	1044.6	0.055544	9798	805.96	1688.5	0	357.63	1424.1	2.0172	0	69.319	0	4.9997	0	1149.6	2703.6
4.5	3.76E+06	1.8676	0.0069486	0.0049767	25.339	3.3118	0.0069486	587.79	0	0	0	0	0	0	1044.6	0.057721	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.318	0	4.9997	0	1149.6	2703.6
5	3.20E+06	1.8676	0.0069479	0.0049767	25.339	3.3118	0.0069479	587.79	0	0	0	0	0	0	1044.6	0.059022	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.318	0	4.9997	0	1149.6	2703.6
5.5	2.63E+06	1.8676	0.0069474	0.0049767	25.339	3.3118	0.0069474	587.79	0	0	0	0	0	0	1044.6	0.059799	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.318	0	4.9997	0	1149.6	2703.6
6	2.25E+06	1.8676	0.0069472	0.0049767	25.339	3.3118	0.0069472	587.79	0	0	0	0	0	0	1044.6	0.060264	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.318	0	4.9997	0	1149.6	2703.6
6.5	1.87E+06	1.8676	0.006947	0.0049767	25.339	3.3118	0.006947	587.79	0	0	0	0	0	0	1044.6	0.060542	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
7	1.58E+06	1.8676	0.0069469	0.0049767	25.339	3.3118	0.0069469	587.79	0	0	0	0	0	0	1044.6	0.060708	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
7.5	1.29E+06	1.8676	0.0069469	0.0049767	25.339	3.3118	0.0069469	587.79	0	0	0	0	0	0	1044.6	0.060808	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
8	1.07E+06	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060867	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
8.5	8.42E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060903	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
9	6.99E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060924	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
9.5	5.55E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060937	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
10	4.73E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060944	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
10.5	3.90E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060949	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
11	3.36E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060952	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
11.5	2.81E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060953	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
12	2.40E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060954	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
12.5	1.98E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060955	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
13	1.67E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060955	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
13.5	1.35E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060955	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
14	1.08E+05	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060955	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
14.5	81900	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
15	66150	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
15.5	50400	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
16	39150	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
16.5	27900	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
17	21600	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
17.5	15300	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
18	8100	1.8676	0.0069468	0.0049767	25.339	3.3118	0.0069468	587.79	0	0	0	0	0	0	1044.6	0.060956	9798	805.95	1688.5	0	357.63	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
18.5	900	1.8676	0.0069468	0.0049767	25.335	3.3256	0.0069468	586.67	0	0	0	0	0	0	1044.6	0.060956	9755.5	805.95	1688.5	0	355.3	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
19	0	1.8676	0.0069468	0.0049767	25.335	3.3256	0.0069468	586.67	0	0	0	0	0	0	1044.6	0.060956	9755.5	805.95	1688.5	0	355.3	1424.1	2.0172	0	69.317	0	4.9997	0	1149.6	2703.6
