z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsczt
0	0.019101319	3.189300955	9.28E-11	0.155007446	0.212364001	0.011207085	2.59E-06	0.00E+00	0.017996648	0.625983989	4.70E-13	0.033232371	0	9.12E-09	0.000681063	0.418560291	0.000699961	0	521.1206028	3.36E-16	4.66E-05	11087.98445	0.049892011	3.30485000000000e-319	0.166142945	3.98E-05	110.6062797	0.051526515	0.000405973	0.469384273	0	1.202133773	0	0	5.52630000000000e-319	4.52200000000000e-320	41.67179035
0.1	0.019661309	3.150283686	4.81E-10	0.1558263	0.158558751	0.008104962	0.004528938	2.38E-12	0.01466361	0.625873208	0.000429036	0.032346172	7.38E-04	7.35E-07	0.000953087	0.341073322	0.000699096	0.00061674	521.1683105	4.79E-15	1.47E-04	11087.99831	0.052693902	3.30673000000000e-319	0.166143076	3.98E-05	110.5705706	0.070764518	0.000432183	0.54240641	4.40000000000000e-323	1.029427725	9.99E-17	1.10E-11	5.54280000000000e-319	4.55970000000000e-320	41.65749783
0.2	0.021372784	3.295390742	8.71E-10	0.156651421	0.101453019	0.00507374	0.009343106	4.46E-12	0.011374083	0.625282854	0.00084445	0.0314271	1.49E-03	1.94E-06	0.001133717	0.264586975	0.000696085	0.001076437	521.2793958	1.03E-13	7.08E-04	11088.04733	0.055477871	3.30610000000000e-319	0.166143466	3.98E-05	110.490199	0.09808667	0.000458961	0.608722206	8.90000000000000e-323	0.904777037	3.13E-16	2.20E-11	5.60004000000000e-319	4.98560000000000e-320	41.60719467
0.3	0.024323576	3.631147664	1.26E-09	0.157483832	0.060568417	0.002928226	0.013081437	6.46E-12	0.008258298	0.623333083	0.001233889	0.030450397	2.27E-03	4.17E-06	0.001198629	0.192128312	0.000690646	0.001359876	521.4291981	1.46E-12	2.61E-03	11088.13664	0.058231456	3.30610000000000e-319	0.16614411	3.98E-05	110.3656242	0.109774124	0.000496952	0.671133036	1.33000000000000e-322	0.821910844	8.78E-16	3.30E-11	5.67630000000000e-319	5.85670000000000e-320	41.5157491
0.4	0.028638045	4.170019299	1.66E-09	0.158321718	0.033629707	0.001480956	0.015953664	8.17E-12	0.005498384	0.61870218	0.001586684	0.029417421	3.08E-03	7.90E-06	0.00117119	0.127934432	0.000682704	0.001534746	521.6024655	1.28E-11	7.20E-03	11088.26796	0.060955816	3.30610000000000e-319	0.166145008	3.98E-05	110.1975721	0.114012764	0.00053062	0.722622975	1.73000000000000e-322	0.776008774	2.43E-15	4.40E-11	5.77484000000000e-319	6.96200000000000e-320	41.3814262
0.5	0.03440314	4.919632405	2.07E-09	0.159162539	0.016373193	0.000573775	0.018221921	9.52E-12	0.003315923	0.610804496	0.001890493	0.028345033	3.90E-03	1.20E-05	0.001069146	0.077163401	0.000672378	0.00164274	521.7898027	6.37E-11	1.51E-02	11088.44018	0.063652054	3.30610000000000e-319	0.166146155	3.98E-05	109.9869922	0.116105906	0.000556791	0.761992171	2.10000000000000e-322	0.761494714	6.73E-15	5.50E-11	5.89560000000000e-319	8.13330000000000e-320	41.20535164
0.6	0.041330008	5.834842327	2.47E-09	0.160002891	0.006414383	0.000222301	0.019888039	1.06E-11	0.001885133	0.600707446	0.002142285	0.027248683	4.73E-03	1.74E-05	0.000918673	0.043874042	0.000659987	0.001709539	521.9854216	1.82E-10	2.53E-02	11088.64965	0.066321217	3.30610000000000e-319	0.166147549	3.98E-05	109.7350406	0.115892997	0.000576166	0.791270393	2.50000000000000e-322	0.765562216	1.86E-14	6.61E-11	6.03733000000000e-319	9.12440000000000e-320	40.99116363
0.7	0.049077456	6.865303646	2.89E-09	0.16083961	0.002512907	8.61E-05	0.021039992	1.14E-11	0.001029178	0.588966755	0.002347137	0.026150259	5.56E-03	2.27E-05	0.000750888	0.023956312	0.000645953	0.001750962	522.1857562	3.93E-10	3.74E-02	11088.89083	0.068964303	3.30610000000000e-319	0.166149185	3.98E-05	109.4430679	0.114588467	0.000590186	0.812552361	2.96000000000000e-322	0.778246912	4.04E-14	7.72E-11	6.20130000000000e-319	1.00854000000000e-319	40.74439406
0.8	0.057466671	7.984909684	3.31E-09	0.161670533	0.00098446	3.34E-05	0.02192746	1.20E-11	0.000545513	0.576425405	0.002519142	0.025060854	6.39E-03	2.75E-05	0.000590644	1.27E-02	0.000630708	0.001776754	522.3886091	6.82E-10	0.05048665	11089.1577	0.071582259	3.30610000000000e-319	0.166151059	3.98E-05	109.1126045	0.113995385	0.000600336	0.827960127	3.40000000000000e-322	0.795009016	6.85E-14	8.84E-11	6.37610000000000e-319	1.07460000000000e-319	40.47108634
0.9	0.066255173	9.159348503	3.73E-09	0.162494186	0.000385673	1.29E-05	0.022620056	1.25E-11	0.000283378	0.563642001	0.002670231	0.023989834	7.19E-03	3.13E-05	0.000450845	6.60E-03	0.00061465	0.001792915	522.5926262	1.02E-09	0.064184279	11089.44436	0.074175988	3.30610000000000e-319	0.166153167	3.98E-05	108.7453441	0.113635875	0.000608031	0.839648793	3.80000000000000e-322	0.811639897	1.09E-13	9.95E-11	6.59540000000000e-319	1.12930000000000e-319	40.17710738
