z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	ÊPO4adsc
0	0.037734101	9.326383877	1.73E-08	0.498887862	0.19211118	0.029716291	5.59E-06	0.00E+00	5.672757224	1.05126185	3.34E-12	0.065194388	0	1.27E-08	0.00122382	2.002628778	0.000705415	0	534.2406011	1.42E-14	9.84E-07	11124.41469	0.04327549	3.30485000000000e-319	0.164670795	3.98E-05	433.0638035	0.066208972	0.000465897	0.542938227	0	0.099963522	0	0	5.48310000000000e-319	4.52200000000000e-320	41.00198932
0.1	0.038814494	8.398814399	9.85E-08	0.499089552	0.162684166	0.021780272	0.001603514	9.45E-13	5.150019996	1.051329328	0.002510234	0.064291121	6.81E-04	1.07E-08	0.000995603	1.819749041	0.000703961	0.000632939	534.289067	2.07E-13	3.11E-06	11124.42875	0.048940929	3.30673000000000e-319	0.164670933	3.98E-05	427.5630599	0.074732953	0.000501012	0.583978567	4.40000000000000e-323	0.083133907	2.81E-15	4.38E-04	5.49960000000000e-319	4.55400000000000e-320	40.985989
0.2	0.042120783	7.969729952	1.80E-07	0.499337788	0.133082363	0.013219344	0.003315337	1.87E-12	4.624224128	1.051524372	0.005011362	0.063343324	1.39E-03	7.70E-09	0.000818571	1.63481791	0.000700205	0.001104831	534.4015801	5.23E-12	1.66E-05	11124.46455	0.05453519	3.30610000000000e-319	0.164671345	3.98E-05	421.9708216	0.085049835	0.000534308	0.623960313	8.90000000000000e-323	0.06963362	8.80E-15	8.77E-04	5.53457000000000e-319	4.97970000000000e-320	40.94437921
0.3	0.047837501	8.009794847	2.62E-07	0.499646187	0.106417035	0.007422069	0.004987694	2.82E-12	4.097976331	1.051808861	0.007494128	0.062312596	2.15E-03	1.02E-08	0.000706623	1.449062139	0.000694625	0.001395939	534.5528199	1.11E-10	7.96E-05	11124.51697	0.060008885	3.30610000000000e-319	0.164672032	3.98E-05	416.2982653	0.09216897	0.000562708	0.664192596	1.33000000000000e-322	0.05885095	2.47E-14	1.32E-03	5.58986000000000e-319	5.84430000000000e-320	40.88225002
0.4	0.056271708	8.514872808	3.46E-07	0.500011127	0.082715792	3.71E-03	0.006683369	3.77E-12	3.574673133	1.052044114	0.009948981	0.06117525	2.98E-03	1.83E-08	0.000644865	1.263978174	0.000687523	0.001575627	534.7271173	1.95E-09	3.31E-04	11124.58281	0.065366027	3.30610000000000e-319	0.164672994	3.98E-05	410.558034	0.0979172	0.000588344	0.702560756	1.73000000000000e-322	0.050337633	6.85E-14	1.76E-03	5.66614000000000e-319	6.94360000000000e-320	40.8028111
0.5	0.067862244	9.505139766	4.30E-07	0.500429074	0.062029865	1.78E-03	0.008417196	4.72E-12	3.058349762	1.051815385	0.012363206	0.059919429	3.88E-03	3.67E-08	0.000622292	1.081210001	0.000679064	0.001686617	534.9148136	2.74E-08	1.19E-03	11124.6603	0.070610493	3.30610000000000e-319	0.16467423	3.98E-05	404.7623082	0.102928409	0.000611683	0.738281864	2.10000000000000e-322	0.043744914	1.90E-13	2.20E-03	5.76400000000000e-319	8.10900000000000e-320	40.70782083
0.6	0.083210759	11.02746133	5.17E-07	0.500896708	0.04444625	6.90E-04	0.010168371	5.66E-12	2.553422102	1.050128258	0.014718894	0.05854254	4.86E-03	7.69E-08	0.000630023	0.902457755	0.000669303	0.001755226	535.109956	3.00E-07	3.64E-03	11124.74881	0.075746023	3.30610000000000e-319	0.164675742	3.98E-05	398.9226942	0.107384457	0.000632765	0.771001974	2.50000000000000e-322	0.03881441	5.25E-13	2.64E-03	5.88477000000000e-319	9.09430000000000e-320	40.59791237
0.7	0.103071514	13.15197673	6.05E-07	0.501410707	0.030082201	2.67E-04	0.01188753	6.57E-12	2.066004816	1.045154565	0.016989924	0.057049351	0.005900858	1.65E-07	0.000659223	0.729960054	0.000658219	0.001797668	535.3088768	2.47E-06	9.52E-03	11124.84859	0.080776228	3.30610000000000e-319	0.164677529	3.98E-05	393.0504827	0.111247676	0.000651527	0.800505329	2.90000000000000e-322	0.035346272	1.45E-12	3.09E-03	6.02650000000000e-319	1.00610000000000e-319	40.47284223
0.8	0.12831788	15.96673001	6.95E-07	0.501967144	0.01903604	1.04E-04	0.013512016	7.44E-12	1.605187294	1.034533124	0.019135269	0.055451466	0.00699679	3.51E-07	0.000698365	5.67E-01	0.000645734	0.001823943	535.5093138	1.48E-05	0.02119037	11124.9605	0.085704592	3.30610000000000e-319	0.164679589	3.98E-05	387.1568354	0.114346486	0.000667929	0.826706295	3.36000000000000e-322	0.033179114	4.02E-12	3.53E-03	6.20130000000000e-319	1.07220000000000e-319	40.33173564
0.9	0.159777154	19.5566306	7.88E-07	0.50256013	0.011199978	4.01E-05	0.014992832	8.26E-12	1.184938034	1.016626797	0.021093091	0.053767387	0.008131754	7.15E-07	0.000730996	4.18E-01	0.000631754	0.001840228	535.7098607	6.24E-05	0.040281221	11125.08573	0.090534474	3.30610000000000e-319	0.164681921	3.98E-05	381.2528634	0.116554942	0.000682055	0.849697602	3.75000000000000e-322	0.032150783	1.11E-11	3.98E-03	6.42060000000000e-319	1.12627000000000e-319	40.17340672
1	0.197668035	23.93501383	8.83E-07	0.503178789	0.005773012	1.55E-05	0.016348354	9.00E-12	0.825065592	0.992002796	0.022786104	0.052020624	0.00929206	1.34E-06	0.000738225	2.91E-01	0.000616219	0.001850353	535.9096379	1.83E-04	0.06622177	11125.2253	0.095269113	3.30610000000000e-319	0.164684523	3.98E-05	375.3496259	0.118549008	0.000694014	0.869495456	4.20000000000000e-322	0.032012083	3.08E-11	4.42E-03	6.69326000000000e-319	1.18030000000000e-319	39.99684453
1.1	0.240169866	28.87220215	9.80E-07	0.503808151	0.002577303	6.02E-06	0.017531702	9.69E-12	0.545173038	0.963343418	0.024163126	0.05022926	0.01046851	2.43E-06	0.000708716	1.92E-01	0.000599161	0.001856696	536.1081291	0.000382311	0.09633807	11125.37941	0.099911632	3.30610000000000e-319	0.164687392	3.98E-05	369.4580758	0.119747145	0.000704158	0.886668781	4.60000000000000e-322	0.032265396	6.76E-11	4.87E-03	6.99963000000000e-319	1.22480000000000e-319	39.80184787
1.2	0.285625696	34.16422478	1.08E-06	0.504435531	0.001009688	2.33E-06	0.018572443	1.03E-11	0.343308082	0.932039371	0.025213706	0.048414535	0.011651052	4.15E-06	0.000644242	1.21E-01	0.00058074	0.001860734	536.3050296	0.000660274	0.129255177	11125.54696	0.104465039	3.30610000000000e-319	0.164690522	3.98E-05	363.5889684	0.120708158	0.000712815	0.901580088	5.00000000000000e-322	0.032603914	1.15E-10	5.32E-03	7.30535000000000e-319	1.26800000000000e-319	39.58952286
1.3	0.332783947	39.6589001	1.18E-06	0.505053326	0.000395556	9.04E-07	0.019523691	1.09E-11	2.07E-01	0.899524253	0.025981838	0.04658582	0.012836006	6.69E-06	5.57E-04	7.31E-02	0.000561217	0.001863382	536.5001832	0.000990843	0.163571324	11125.7257	0.108932232	3.30610000000000e-319	0.164693909	3.98E-05	357.7527521	0.121744683	0.00072039	0.914815761	5.40000000000000e-322	0.032866053	1.83E-10	5.77E-03	7.63330000000000e-319	1.31125000000000e-319	39.36212104
1.4	0.380579977	45.22798108	1.28E-06	0.505657201	0.000154964	3.50E-07	0.020412453	1.14E-11	1.21E-01	0.866662542	0.026531225	0.044751269	0.014020059	1.01E-05	4.62E-04	4.25E-02	0.000540907	0.001865198	536.6935052	0.001351357	0.198467454	11125.91269	0.113316001	3.30610000000000e-319	0.164697546	3.98E-05	351.9594489	0.122841074	0.000727259	0.926949217	5.80000000000000e-322	0.032960104	2.66E-10	6.23E-03	7.99433000000000e-319	1.35390000000000e-319	39.12258821
1.5	0.428345686	50.79131907	1.38E-06	0.506244977	6.07E-05	1.36E-07	0.0212652	1.19E-11	6.78E-02	0.833965376	0.026925676	0.042916899	0.015200458	1.44E-05	3.71E-04	2.39E-02	0.000520135	0.001866523	536.884948	0.001726365	0.23349361	11126.10482	0.117619033	3.30610000000000e-319	0.164701426	3.98E-05	346.2185385	0.124039461	0.000733691	0.938389559	6.20000000000000e-322	0.032858915	3.57E-10	6.68E-03	8.37634000000000e-319	1.39835000000000e-319	38.87405595
1.6	0.475721154	56.30580369	1.48E-06	0.506815877	2.38E-05	5.26E-08	0.022098745	1.24E-11	3.71E-02	0.80175237	0.027217708	0.041088068	0.016374472	1.93E-05	2.90E-04	1.31E-02	0.000499202	0.001867559	537.0744837	0.002106634	0.26840562	11126.29914	0.121843916	3.30610000000000e-319	0.16470554	3.98E-05	340.538849	0.125332583	0.000739873	0.949423029	6.60000000000000e-322	0.032572171	4.54E-10	7.14E-03	8.78000000000000e-319	1.44163000000000e-319	38.61946647
1.7	0.522524693	61.74968201	1.58E-06	0.507369817	9.32E-06	2.04E-08	0.022921478	1.29E-11	1.97E-02	0.770239766	0.02744549	0.039270027	0.017539243	2.45E-05	2.23E-04	6.96E-03	0.000478367	0.001868426	537.2620958	0.002487	0.303068054	11126.49312	0.125993137	3.30610000000000e-319	0.16470988	3.98E-05	334.9284623	0.126690364	0.000745917	0.960221774	7.00000000000000e-322	0.032125657	5.55E-10	7.59E-03	9.20647000000000e-319	1.48546000000000e-319	38.36136442
1.8	0.568670389	67.11268509	1.68E-06	0.507907018	3.65E-06	7.89E-09	0.023736354	1.33E-11	1.03E-02	0.739579068	0.027634495	0.03746787	0.018691836	2.96E-05	1.69E-04	3.61E-03	0.000457835	0.001869193	537.4477744	0.002864653	0.337402714	11126.68471	0.13006909	3.30610000000000e-319	0.164714437	3.98E-05	329.3946357	0.128076803	0.000751883	0.970876274	7.46000000000000e-322	0.031550606	6.59E-10	8.05E-03	9.63235000000000e-319	1.52810000000000e-319	38.10182103
1.9	0.614139266	72.39256977	1.79E-06	0.508427832	1.43E-06	3.06E-09	0.024543914	1.38E-11	5.21E-03	0.709859158	0.027800688	0.035686314	0.019829342	3.44E-05	1.28E-04	1.83E-03	0.000437759	0.001869901	537.6315123	0.003238941	0.371377279	11126.8723	0.134074072	3.30610000000000e-319	0.164719201	3.98E-05	323.9437427	0.129468134	0.000757796	0.98142306	7.90000000000000e-322	0.030879544	7.65E-10	8.51E-03	1.00678700000000e-318	1.57256000000000e-319	37.84244547
2	0.65895622	77.59236844	1.89E-06	0.508932646	5.60E-07	1.18E-09	0.025344445	1.42E-11	2.59E-03	0.681119155	0.027953596	0.03392956	0.020948976	3.88E-05	9.71E-05	9.11E-04	0.000418243	0.001870573	537.8133043	0.00361074	0.404990876	11127.05472	0.138010293	3.30610000000000e-319	0.164724161	3.98E-05	318.5812343	0.130859703	0.000763661	0.991868573	8.30000000000000e-322	0.030143716	8.75E-10	8.98E-03	1.05069500000000e-318	1.61580000000000e-319	37.58443211
2.1	0.703142292	82.7147483	2.00E-06	0.509421826	2.19E-07	4.59E-10	0.026136606	1.47E-11	1.26E-03	0.65338396	0.028098678	0.032201239	0.022048163	4.27E-05	7.42E-05	4.44E-04	0.000399354	0.001871221	537.9931471	0.003980618	0.438242333	11127.23113	0.141879872	3.30610000000000e-319	0.164729307	3.98E-05	313.311621	0.132236345	0.000769477	1.002209908	8.70000000000000e-322	0.029370191	9.89E-10	9.44E-03	1.09436000000000e-318	1.65967000000000e-319	37.32863595
2.2	0.746719143	87.76253358	2.10E-06	0.509895699	8.60E-08	1.78E-10	0.026919459	1.51E-11	6.01E-04	0.626665551	0.028238949	0.030504596	0.023124551	4.63E-05	5.76E-05	2.12E-04	0.000381132	0.001871852	538.1710391	0.004349004	0.471133033	11127.40095	0.145684843	3.30610000000000e-319	0.164734627	3.98E-05	308.1384739	0.133594236	0.000775237	1.012436615	9.10000000000000e-322	0.028582165	1.11E-09	9.90E-03	1.13797000000000e-318	1.70350000000000e-319	37.07564243
2.3	0.789711202	92.7389503	2.21E-06	0.510354567	3.37E-08	6.89E-11	0.027692287	1.55E-11	2.82E-04	0.600964975	0.028376027	0.028842586	0.024175993	4.96E-05	4.56E-05	9.92E-05	0.000363596	0.001872472	538.3469794	0.004716302	0.503668343	11127.56382	0.149427156	3.30610000000000e-319	0.164740111	3.98E-05	303.0644452	0.134932579	0.000780936	1.022538046	9.54000000000000e-322	0.027799165	1.23E-09	1.04E-02	1.18176000000000e-318	1.74677000000000e-319	36.82582859
2.4	0.832146173	97.64767484	2.32E-06	0.510798711	1.32E-08	2.67E-11	0.028454494	1.60E-11	1.30E-04	0.576274323	0.028510751	0.027217957	0.025200522	5.26E-05	3.71E-05	4.56E-05	0.000346752	0.001873081	538.5209677	0.00508294	0.53585796	11127.71955	0.153108678	3.30610000000000e-319	0.164745746	3.98E-05	298.0913051	0.136251132	0.000786567	1.032504861	9.93000000000000e-322	0.027037249	1.36E-09	1.08E-02	1.22435000000000e-318	1.79000000000000e-319	36.57941369
2.5	0.874054707	102.4927842	2.43E-06	0.511228392	5.17E-09	1.03E-11	0.029205562	1.64E-11	5.87E-05	0.5525784	0.028643547	0.025633299	0.026196313	5.55E-05	3.10E-05	2.06E-05	0.000330595	0.001873682	538.6930043	0.005449398	0.567715697	11127.86806	0.156731199	3.30610000000000e-319	0.16475152	3.98E-05	293.2199931	0.137549585	0.000792126	1.042329005	1.04000000000000e-321	0.026309223	1.49E-09	1.13E-02	1.26369000000000e-318	1.83387000000000e-319	36.33649941
2.6	0.915469694	107.278661	2.54E-06	0.511643863	2.03E-09	4.01E-12	0.02994502	1.68E-11	2.61E-05	0.529856117	0.028774627	0.024091063	0.027161666	5.81E-05	2.67E-05	9.18E-06	0.000315114	0.001874275	538.8630899	0.00581621	0.599258994	11128.00934	0.160296433	3.30610000000000e-319	0.164757421	3.98E-05	288.4506812	0.138827486	0.000797608	1.052003412	1.07700000000000e-321	0.025624901	1.63E-09	1.18E-02	1.30310000000000e-318	1.87770000000000e-319	36.09710111
2.7	0.95642542	112.0098818	2.65E-06	0.512045361	7.93E-10	1.55E-12	0.03067244	1.72E-11	1.14E-05	0.508081665	0.028904094	0.022593564	0.028094997	6.06E-05	2.38E-05	4.02E-06	0.000300293	0.001874861	539.0312258	0.006183967	0.630508306	11128.14346	0.16380602	3.30610000000000e-319	0.164763436	3.98E-05	283.7828464	0.140084288	0.000803009	1.061521774	1.11700000000000e-321	0.024991398	1.78E-09	1.23E-02	1.34238000000000e-318	1.92157000000000e-319	35.8611717
2.8	0.996956687	116.691104	2.76E-06	0.512433115	3.11E-10	6.01E-13	0.031387429	1.76E-11	4.93E-06	0.487225552	0.029032001	0.021142971	0.028994831	6.29E-05	2.17E-05	1.73E-06	2.86E-04	0.00187544	539.1974132	0.006553306	0.66148644	11128.27054	0.167261528	3.30610000000000e-319	0.164769553	3.98E-05	279.2153497	0.141319409	0.000808323	1.070878391	1.15600000000000e-321	0.02441344	1.94E-09	1.27E-02	1.38166400000000e-318	1.96480000000000e-319	35.62861989
