z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	ÊPO4adsc
0	0.013836319	6.470231114	1.70E-08	0.504128231	0.278200647	0.029699944	3.89E-06	0.00E+00	8.363385454	1.046021201	1.25E-12	0.066147748	0	6.23E-09	0.000282462	0.513596573	0.00029853	0	534.3131185	3.96E-21	3.15E-10	11133.11052	0.043690277	3.30485000000000e-319	0.164639379	3.98E-05	446.5718753	0.066053456	0.000465454	0.541717909	0	0.005294934	0	0	5.48310000000000e-319	4.52200000000000e-320	8.152350564
0.1	0.014213405	5.448224141	8.83E-08	0.504133359	0.250382985	0.023657629	0.000509775	3.35E-13	7.852628193	1.046076921	0.002141769	0.065841573	2.71E-04	4.50E-09	0.000223394	0.482418023	0.000298157	0.000632862	534.3615948	7.67E-20	1.31E-09	11133.11304	0.049457044	3.30673000000000e-319	0.164639503	3.98E-05	441.1989234	0.072993519	0.000498397	0.577954415	4.40000000000000e-323	0.004382367	7.67E-19	4.38E-04	5.49960000000000e-319	4.55400000000000e-320	8.148378202
0.2	0.015367321	4.751008392	1.60E-07	0.504185224	0.222605963	0.017300209	0.001075932	6.82E-13	7.331409944	1.046244267	0.00428217	0.065505242	5.62E-04	1.89E-09	0.000177355	0.450617275	0.000297191	0.0011047	534.4741446	2.78E-18	9.82E-09	11133.11896	0.055150287	3.30610000000000e-319	0.164639877	3.98E-05	435.6962807	0.081061385	0.000529841	0.613947821	8.90000000000000e-323	0.003643502	2.40E-18	8.77E-04	5.53457000000000e-319	4.97970000000000e-320	8.138115259
0.3	0.01736406	4.335386201	2.32E-07	0.504297632	0.195797626	0.012323953	0.001689657	1.07E-12	6.801256282	1.04652367	0.006419885	0.065109995	8.92E-04	1.19E-09	0.000147725	0.418272189	0.000295758	0.001395805	534.625452	9.24E-17	6.82E-08	11133.12693	0.060718958	3.30610000000000e-319	0.1646405	3.98E-05	430.0753565	0.087288642	0.000556401	0.651187096	1.33000000000000e-322	0.003045833	6.74E-18	1.32E-03	5.58986000000000e-319	5.84430000000000e-320	8.122891996
0.4	0.020316507	4.174585929	3.05E-07	0.504467324	0.170066475	8.51E-03	0.002400098	1.51E-12	6.263894779	1.046915634	0.00855384	0.064631055	1.28E-03	1.29E-09	0.00013054	0.385472807	0.000293939	0.001575575	534.799849	2.78E-15	4.31E-07	11133.1361	0.066167092	3.30610000000000e-319	0.164641374	3.98E-05	424.349389	0.092808687	0.000581265	0.688273016	1.73000000000000e-322	0.002565951	1.87E-17	1.76E-03	5.66614000000000e-319	6.94360000000000e-320	8.10356773
0.5	0.024389992	4.256578274	3.80E-07	0.504691307	0.145537243	5.66E-03	0.003244523	2.01E-12	5.721069785	1.047419823	0.010682471	0.064047186	1.73E-03	1.98E-09	0.000123048	0.352312855	0.000291781	0.001686748	534.9876735	7.45E-14	2.46E-06	11133.14595	0.071498597	3.30610000000000e-319	0.164642498	3.98E-05	418.5315361	0.098018072	0.0006052	0.724681051	2.10000000000000e-322	0.002185736	5.17E-17	2.20E-03	5.76400000000000e-319	8.10900000000000e-320	8.08064345
0.6	0.029810237	4.58316866	4.56E-07	0.504966896	0.122353302	3.61E-03	0.00424903	2.59E-12	5.174598228	1.048031048	0.012803466	0.063341019	2.27E-03	3.45E-09	0.000123335	0.318893488	0.000289304	0.001755641	535.1829637	1.75E-12	1.26E-05	11133.15627	0.076717254	3.30610000000000e-319	0.164643874	3.98E-05	412.6347266	0.103046992	0.000628346	0.760167833	2.50000000000000e-322	0.001891038	1.43E-16	2.64E-03	5.88477000000000e-319	9.09430000000000e-320	8.054342408
0.7	0.036874009	5.169802261	5.33E-07	0.505291739	0.100676532	2.19E-03	0.005427149	3.25E-12	4.626501197	1.048724022	0.014913389	0.06249981	0.002899174	6.42E-09	0.000130026	0.285331127	0.000286509	0.001798453	535.3820383	3.52E-11	5.77E-05	11133.16704	0.081826724	3.30610000000000e-319	0.164645501	3.98E-05	406.6718751	0.107926208	0.000650663	0.794556868	2.90000000000000e-322	0.001671121	3.96E-16	3.09E-03	6.02650000000000e-319	1.00610000000000e-319	8.024666083
0.8	0.045962758	6.046023213	6.13E-07	0.505663808	0.080686852	1.24E-03	0.006777361	3.98E-12	4.079170717	1.049404673	0.017007129	0.061516207	0.003620446	1.25E-08	0.00014202	2.52E-01	0.000283378	0.001825153	535.5826232	5.97E-10	0.00023334	11133.17846	0.086830553	3.30610000000000e-319	0.16464738	3.98E-05	400.65603	0.11264557	0.000672041	0.827658292	3.36000000000000e-322	0.001518299	1.10E-15	3.53E-03	6.20130000000000e-319	1.07220000000000e-319	7.991434271
0.9	0.057558689	7.256440143	6.95E-07	0.506081362	0.06258298	6.47E-04	0.008280476	4.78E-12	3.535605191	1.049784815	0.019077096	0.060388586	0.004435385	2.55E-08	0.000158243	2.18E-01	0.000279882	0.001841872	535.7833136	8.35E-09	0.000829711	11133.19085	0.091732173	3.30610000000000e-319	0.16464951	3.98E-05	394.600418	0.11717127	0.000692322	0.859238043	3.75000000000000e-322	0.001427647	3.03E-15	3.98E-03	6.42060000000000e-319	1.12627000000000e-319	7.954316775
