z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsczt
0	0.003007667	1.29395206	9.01E-11	0.087911086	0.237172682	0.010375781	7.97E-07	1.62E-29	0.068048513	0.95927245	1.87E-13	0.055759005	0	2.78E-09	0.000614435	1.398840019	0.001777116	0	521.2329164	1.80E-23	3.55E-07	11086.30991	0.049891583	3.30485000000000e-319	0.166051334	3.98E-05	109.4031891	0.036662108	0.000284441	0.329980141	0	0.784405137	0	0	5.52630000000000e-319	4.52200000000000e-320	43.34632882
0.1	0.003098439	1.119116953	4.30E-10	0.088084152	0.191997527	0.008667649	0.002205225	1.24E-12	0.060693676	0.959253689	0.000731233	0.05532275	4.22E-04	2.75E-08	0.000750782	1.236322835	0.001776022	0.000616876	521.2806302	2.94E-22	1.25E-06	11086.32135	0.052664618	3.30673000000000e-319	0.166051481	3.98E-05	109.3505159	0.04932332	0.000308396	0.383404023	4.40000000000000e-323	0.636723593	1.93E-36	1.10E-11	5.54280000000000e-319	4.55970000000000e-320	43.33445918
0.2	0.003376357	1.011986607	7.72E-10	0.088265391	0.144308076	0.006867798	0.004708653	2.33E-12	0.053410942	0.95919452	0.001447288	0.054858484	8.59E-04	6.14E-08	0.000837855	1.078341819	0.001772428	0.001076675	521.3917267	8.03E-21	7.25E-06	11086.3593	0.055419908	3.30610000000000e-319	0.166051919	3.98E-05	109.2497356	0.06743246	0.000332623	0.433013622	8.90000000000000e-323	0.520210888	6.05E-36	2.20E-11	5.60004000000000e-319	4.98560000000000e-320	43.29523253
0.3	0.003857858	0.965953811	1.12E-09	0.088457234	0.106205143	0.005282178	0.006696433	3.42E-12	0.046270997	0.959078546	0.002138043	0.054343069	1.33E-03	1.01E-07	0.00086883	0.926187481	0.001766124	0.001360179	521.5415399	1.73E-19	3.53E-05	11086.42615	0.058145113	3.30610000000000e-319	0.16605265	3.98E-05	109.1013641	0.076111334	0.000363078	0.480894898	1.33000000000000e-322	0.428875376	1.70E-35	3.30E-11	5.67630000000000e-319	5.85670000000000e-320	43.22623916
0.4	0.004570766	0.97790851	1.47E-09	0.088659132	0.076174403	0.003874898	0.008356711	4.39E-12	0.039360262	0.958850263	0.002800967	0.053766268	1.84E-03	1.64E-07	0.00086729	0.78137906	0.001757046	0.001535089	521.7148144	2.85E-18	1.42E-04	11086.5227	0.060841383	3.30610000000000e-319	0.166053672	3.98E-05	108.9062453	0.080934322	0.000390863	0.52244038	1.73000000000000e-322	0.358200829	4.71E-35	4.40E-11	5.77484000000000e-319	6.96200000000000e-320	43.12669178
0.5	0.005554916	1.047896991	1.82E-09	0.088870532	0.052907099	0.002673383	0.009779563	5.22E-12	0.032776186	0.958367217	0.003432791	0.053126702	2.39E-03	2.71E-07	0.000847274	0.645566304	0.001745215	0.001643108	521.9021526	3.53E-17	4.70E-04	11086.64872	0.063509815	3.30610000000000e-319	0.166054985	3.98E-05	108.6655158	0.083980421	0.000414149	0.556928929	2.10000000000000e-322	0.304639424	1.30E-34	5.50E-11	5.89560000000000e-319	8.13330000000000e-320	42.99681483
0.6	0.006862124	1.178768978	2.18E-09	0.08909084	0.035301254	0.001712903	0.011001873	5.93E-12	0.026627365	0.957353911	0.004029363	0.052428932	2.97E-03	4.54E-07	0.000815821	0.520543273	0.001730711	0.001709922	522.0977653	3.21E-16	1.30E-03	11086.80334	0.066151451	3.30610000000000e-319	0.166056591	3.98E-05	108.3805852	0.086036234	0.000433006	0.584874174	2.50000000000000e-322	0.265350869	3.61E-34	6.61E-11	6.03733000000000e-319	9.12440000000000e-320	42.83746847
0.7	0.008553971	1.375574102	2.55E-09	0.089319348	0.022426141	9.92E-04	0.012035136	6.53E-12	0.021032784	0.955426726	0.00458564	0.051681272	3.59E-03	7.56E-07	0.000774788	0.408249973	0.001713653	0.001751354	522.2980855	2.10E-15	3.01E-03	11086.98527	0.068767288	3.30610000000000e-319	0.166058489	3.98E-05	108.053118	0.0873928	0.000447971	0.607138085	2.96000000000000e-322	0.238002794	9.98E-34	7.72E-11	6.20130000000000e-319	1.00854000000000e-319	42.6499599
0.8	0.010693898	1.644195903	2.93E-09	0.089555098	0.013448945	5.22E-04	0.012884765	7.04E-12	0.016116528	0.952248606	0.005096206	0.050894089	4.23E-03	1.21E-06	0.000722702	3.11E-01	0.001694205	0.001777151	522.5009156	9.80E-15	0.005948328	11087.19279	0.071358274	3.30610000000000e-319	0.166060679	3.98E-05	107.6850113	0.08816526	0.000459677	0.624655578	3.40000000000000e-322	0.220546165	2.76E-33	8.84E-11	6.37610000000000e-319	1.07460000000000e-319	42.43599579
0.9	0.013327989	1.988441485	3.32E-09	0.089796682	0.007528444	2.29E-04	0.013567728	7.45E-12	0.011985764	0.947743391	0.005556489	0.050078371	4.88E-03	1.84E-06	0.000657458	2.30E-01	0.001672572	0.001793314	522.7049011	3.25E-14	0.010199695	11087.42374	0.073925316	3.30610000000000e-319	0.166063162	3.98E-05	107.2783698	0.088501039	0.000468764	0.638347954	3.80000000000000e-322	0.210941115	7.64E-33	9.95E-11	6.59540000000000e-319	1.12930000000000e-319	42.1977296
