z	 OMzt	 OMbzt	 DOM1zt	 DOM2zt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 OHzt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt
0	0.020095	313.77	0.00010692	0.048939	0	0	0.54319	3.68E-09	0.042387	0	0.1	0	1.06E-10	1.01E-10	0.00065603	1.53E-05	9.29E-104	0	1.43E-05	0	3.97E-57	1.0222	0.017767	0.0010562	0.031733	0.0063096	1.58E-06	0	2.19E-05	0.62387	1.06E-15
0.11765	0.010781	121.82	0.0001115	0.049908	0	0	0.55335	3.78E-09	0.0003413	0	0.1	0	1.09E-10	0.0011437	0.00067402	1.23E-07	9.31E-104	2.32E-10	1.44E-05	0	3.98E-57	1.0243	0.018071	0.0010583	0.031784	0.0064901	1.63E-06	0.00038459	2.25E-05	0.64422	1.09E-15
0.23529	0.0089548	76.421	0.00011562	0.050618	0	0	0.56069	3.86E-09	4.46E-06	0	0.1	0	1.11E-10	0.0024193	0.00068868	1.61E-09	1.01E-103	4.36E-10	1.55E-05	0	4.30E-57	1.1085	0.018281	0.0011452	0.034319	0.0066402	1.67E-06	0.00075403	2.29E-05	0.66171	1.11E-15
0.35294	0.0083085	55.753	0.00011931	0.051097	0	0	0.56558	3.93E-09	6.80E-08	0	0.1	0	1.13E-10	0.0035517	0.00070023	2.46E-11	1.10E-103	5.80E-10	1.70E-05	0	4.71E-57	1.2119	0.01841	0.0012519	0.037369	0.0067639	1.70E-06	0.0011453	2.33E-05	0.67607	1.13E-15
0.47059	0.0079839	43.805	0.0001226	0.051375	0	0	0.56841	3.98E-09	1.15E-09	0	0.1	0	1.14E-10	0.0045563	0.00070919	4.19E-13	1.21E-103	6.93E-10	1.86E-05	0	5.16E-57	1.3258	0.018473	0.0013695	0.040666	0.0068649	1.72E-06	0.0015174	2.36E-05	0.68778	1.14E-15
0.58824	0.007748	35.993	0.00012554	0.051476	0	0	0.56955	4.02E-09	2.43E-11	4.4466e-323	0.1	0	1.16E-10	0.0054482	0.00071587	9.03E-15	1.32E-103	7.90E-10	2.03E-05	0	5.64E-57	1.4475	0.018482	0.0014951	0.044126	0.0069469	1.75E-06	0.0018715	2.38E-05	0.69727	1.16E-15
0.70588	0.0075263	30.495	0.00012815	0.051423	0	0	0.56933	4.05E-09	6.77E-13	3.9525e-323	0.1	0	1.16E-10	0.0062407	0.00072057	2.56E-16	1.44E-103	8.78E-10	2.22E-05	0	6.14E-57	1.5754	0.018446	0.0016273	0.047709	0.0070132	1.76E-06	0.0022091	2.39E-05	0.7049	1.16E-15
0.82353	0.0072938	26.437	0.00013047	0.051236	0	0	0.56804	4.08E-09	2.22E-14	3.9525e-323	0.1	0	1.17E-10	0.0069452	0.00072355	8.55E-18	1.56E-103	9.62E-10	2.41E-05	0	6.67E-57	1.7086	0.018375	0.0017651	0.051389	0.0070664	1.78E-06	0.0025318	2.41E-05	0.71099	1.17E-15
0.94118	0.0070413	23.347	0.00013254	0.05093	0	0	0.5659	4.10E-09	8.05E-16	3.4585e-323	0.1	0	1.18E-10	0.0075714	0.00072505	3.52E-19	1.69E-103	1.05E-09	2.60E-05	0	7.22E-57	1.8465	0.018277	0.0019079	0.055144	0.0071091	1.79E-06	0.0028409	2.42E-05	0.71582	1.18E-15
1.0588	0.0067658	20.947	0.00013439	0.050522	0	0	0.5631	4.11E-09	3.19E-17	3.4585e-323	0.1	0	1.18E-10	0.0081274	0.00072526	5.18E-20	1.82E-103	1.13E-09	2.81E-05	0	7.79E-57	1.9882	0.018156	0.002055	0.058955	0.0071431	1.79E-06	0.0031376	2.42E-05	0.71961	1.18E-15
