Date,Year,Month,Day,Fert_TP_mg/d,Inflow_TP_mg/d,Fert_TN_mg/d,Inflow_TN_mg/d
6/27/69,1969,6,27,112500,0.028948195,1353260.87,0.115463108
6/28/69,1969,6,28,112500,0.018843292,1353260.87,0.074868518
6/29/69,1969,6,29,112500,0.07548103,1353260.87,0.298744062
6/30/69,1969,6,30,112500,0,1353260.87,0
7/1/69,1969,7,1,112500,0.037848377,1353260.87,0.148642021
7/2/69,1969,7,2,112500,0,1353260.87,0
7/3/69,1969,7,3,112500,0.006222334,1353260.87,0.024247871
7/4/69,1969,7,4,112500,0.001827412,1353260.87,0.007093606
7/5/69,1969,7,5,112500,0,1353260.87,0
7/6/69,1969,7,6,112500,0,1353260.87,0
7/7/69,1969,7,7,112500,0,1353260.87,0
7/8/69,1969,7,8,112500,0,1353260.87,0
7/9/69,1969,7,9,112500,0.02944602,1353260.87,0.112093831
7/10/69,1969,7,10,112500,0,1353260.87,0
7/11/69,1969,7,11,112500,0,1353260.87,0
7/12/69,1969,7,12,112500,0.048052024,1353260.87,0.180783707
7/13/69,1969,7,13,112500,0.004752537,1353260.87,0.017810119
7/14/69,1969,7,14,112500,0.015419793,1353260.87,0.057558782
7/15/69,1969,7,15,112500,0,1353260.87,0
7/16/69,1969,7,16,112500,0,1353260.87,0
7/17/69,1969,7,17,112500,0,1353260.87,0
7/18/69,1969,7,18,112500,0,1353260.87,0
7/19/69,1969,7,19,112500,0,1353260.87,0
7/20/69,1969,7,20,112500,0,1353260.87,0
7/21/69,1969,7,21,112500,0.005121974,1353260.87,0.018597621
7/22/69,1969,7,22,112500,0.001534682,1353260.87,0.005550272
7/23/69,1969,7,23,112500,0,1353260.87,0
7/24/69,1969,7,24,112500,0.011845089,1353260.87,0.042499062
7/25/69,1969,7,25,112500,0,1353260.87,0
7/26/69,1969,7,26,112500,0.002703218,1353260.87,0.009621855
7/27/69,1969,7,27,112500,0,1353260.87,0
7/28/69,1969,7,28,112500,0,1353260.87,0
7/29/69,1969,7,29,112500,0,1353260.87,0
7/30/69,1969,7,30,112500,0.001013172,1353260.87,0.00354902
7/31/69,1969,7,31,112500,0,1353260.87,0
8/1/69,1969,8,1,112500,0,1353260.87,0
8/2/69,1969,8,2,112500,0,1353260.87,0
8/3/69,1969,8,3,112500,0.004607919,1353260.87,0.015883355
8/4/69,1969,8,4,112500,0,1353260.87,0
8/5/69,1969,8,5,112500,0,1353260.87,0
8/6/69,1969,8,6,112500,0.001263171,1353260.87,0.004301646
8/7/69,1969,8,7,112500,0.003495073,1353260.87,0.011854108
8/8/69,1969,8,8,112500,0,1353260.87,0
8/9/69,1969,8,9,112500,0.003841509,1353260.87,0.012923733
8/10/69,1969,8,10,112500,0,1353260.87,0
8/11/69,1969,8,11,112500,0,1353260.87,0
8/12/69,1969,8,12,112500,0.001437759,1353260.87,0.004778201
8/13/69,1969,8,13,112500,0.016066966,1353260.87,0.053178722
8/14/69,1969,8,14,112500,0.040221345,1353260.87,0.1325818
8/15/69,1969,8,15,112500,0,1353260.87,0
8/16/69,1969,8,16,112500,0.031022467,1353260.87,0.101424454
8/17/69,1969,8,17,112500,0.134610461,1353260.87,0.438289283
8/18/69,1969,8,18,112500,0,1353260.87,0
8/19/69,1969,8,19,112500,0,1353260.87,0
8/20/69,1969,8,20,112500,0,1353260.87,0
8/21/69,1969,8,21,112500,0,1353260.87,0
8/22/69,1969,8,22,112500,0,1353260.87,0
8/23/69,1969,8,23,112500,0,1353260.87,0
8/24/69,1969,8,24,112500,0,1353260.87,0
8/25/69,1969,8,25,112500,0,1353260.87,0
8/26/69,1969,8,26,112500,0,1353260.87,0
8/27/69,1969,8,27,112500,0,1353260.87,0
8/28/69,1969,8,28,112500,0.136587934,1353260.87,0.424905766
8/29/69,1969,8,29,112500,0.001049369,1353260.87,0.003250811
8/30/69,1969,8,30,112500,0,1353260.87,0
8/31/69,1969,8,31,112500,0,1353260.87,0
9/1/69,1969,9,1,112500,0,1353260.87,0
9/2/69,1969,9,2,112500,0,1353260.87,0
9/3/69,1969,9,3,112500,0,1353260.87,0
9/4/69,1969,9,4,112500,0.041353898,1353260.87,0.124916695
9/5/69,1969,9,5,112500,0.003136957,1353260.87,0.009435734
9/6/69,1969,9,6,112500,0.031893661,1353260.87,0.095528219
9/7/69,1969,9,7,112500,0.041515691,1353260.87,0.123821679
9/8/69,1969,9,8,112500,0,1353260.87,0
9/9/69,1969,9,9,112500,0,1353260.87,0
9/10/69,1969,9,10,112500,0.014884816,1353260.87,0.043830952
9/11/69,1969,9,11,112500,0,1353260.87,0
9/12/69,1969,9,12,112500,0,1353260.87,0
9/13/69,1969,9,13,112500,0,1353260.87,0
9/14/69,1969,9,14,112500,0.002289246,1353260.87,0.006626593
9/15/69,1969,9,15,112500,0.008224929,1353260.87,0.023706204
9/16/69,1969,9,16,112500,0,1353260.87,0
9/17/69,1969,9,17,112500,0,1353260.87,0
9/18/69,1969,9,18,112500,0,1353260.87,0
9/19/69,1969,9,19,112500,0,1353260.87,0
9/20/69,1969,9,20,112500,0,1353260.87,0
9/21/69,1969,9,21,112500,0.005032229,1353260.87,0.014132334
9/22/69,1969,9,22,112500,0.021162329,1353260.87,0.059173302
9/23/69,1969,9,23,112500,0,1353260.87,0
9/24/69,1969,9,24,112500,0.002383849,1353260.87,0.006607674
9/25/69,1969,9,25,112500,0.007586866,1353260.87,0.020937784
9/26/69,1969,9,26,112500,0.011816773,1353260.87,0.032468496
9/27/69,1969,9,27,112500,0.042594312,1353260.87,0.116521579
9/28/69,1969,9,28,112500,0.006663788,1353260.87,0.018149465
9/29/69,1969,9,29,112500,0.032847827,1353260.87,0.089070438
9/30/69,1969,9,30,112500,0.011251607,1353260.87,0.030375412
10/1/69,1969,10,1,112500,0.021405018,1353260.87,0.05753078
10/2/69,1969,10,2,112500,0.032972283,1353260.87,0.088228118
10/3/69,1969,10,3,112500,0.018659956,1353260.87,0.049709369
10/4/69,1969,10,4,112500,0.001422908,1353260.87,0.003773727
10/5/69,1969,10,5,112500,0.0119516,1353260.87,0.031555983
10/6/69,1969,10,6,112500,0.028719795,1353260.87,0.075491023
10/7/69,1969,10,7,112500,0.017253449,1353260.87,0.045148612
10/8/69,1969,10,8,112500,0.143958515,1353260.87,0.375021746
10/9/69,1969,10,9,112500,0.009008643,1353260.87,0.023362816
10/10/69,1969,10,10,112500,0,1353260.87,0
10/11/69,1969,10,11,112500,0,1353260.87,0
10/12/69,1969,10,12,112500,0,1353260.87,0
10/13/69,1969,10,13,112500,0,1353260.87,0
10/14/69,1969,10,14,112500,0.029007427,1353260.87,0.073544329
10/15/69,1969,10,15,112500,0.145216906,1353260.87,0.366504963
10/16/69,1969,10,16,112500,0,1353260.87,0
10/17/69,1969,10,17,112500,0,1353260.87,0
10/18/69,1969,10,18,112500,0,1353260.87,0
10/19/69,1969,10,19,112500,0,1353260.87,0
10/20/69,1969,10,20,112500,0,1353260.87,0
10/21/69,1969,10,21,112500,0,1353260.87,0
10/22/69,1969,10,22,112500,0.146475298,1353260.87,0.357988179
10/23/69,1969,10,23,112500,0,1353260.87,0
10/24/69,1969,10,24,112500,0,1353260.87,0
10/25/69,1969,10,25,112500,0.044104383,1353260.87,0.106301439
10/26/69,1969,10,26,112500,0,1353260.87,0
10/27/69,1969,10,27,112500,0.055265306,1353260.87,0.131964286
10/28/69,1969,10,28,112500,0,1353260.87,0
10/29/69,1969,10,29,112500,0,1353260.87,0
10/30/69,1969,10,30,112500,0,1353260.87,0
10/31/69,1969,10,31,112500,0.024682205,1353260.87,0.057839671
5/1/70,1970,5,1,134782.6087,0,1673913.043,0
5/2/70,1970,5,2,134782.6087,0,1673913.043,0
5/3/70,1970,5,3,134782.6087,0.05205676,1673913.043,0.056972789
5/4/70,1970,5,4,134782.6087,0.013985058,1673913.043,0.016763848
5/5/70,1970,5,5,134782.6087,0,1673913.043,0
5/6/70,1970,5,6,134782.6087,0.113945578,1673913.043,0.282993197
5/7/70,1970,5,7,134782.6087,0,1673913.043,0
5/8/70,1970,5,8,134782.6087,0.003947187,1673913.043,0.016602317
5/9/70,1970,5,9,134782.6087,0,1673913.043,0
5/10/70,1970,5,10,134782.6087,0.080782313,1673913.043,0.536054422
5/11/70,1970,5,11,134782.6087,0.003063021,1673913.043,0.025323369
5/12/70,1970,5,12,134782.6087,0,1673913.043,0
5/13/70,1970,5,13,134782.6087,0,1673913.043,0
5/14/70,1970,5,14,134782.6087,0.001253133,1673913.043,0.020766201
5/15/70,1970,5,15,134782.6087,0.001950478,1673913.043,0.031310311
5/16/70,1970,5,16,134782.6087,0,1673913.043,0
5/17/70,1970,5,17,134782.6087,0,1673913.043,0
5/18/70,1970,5,18,134782.6087,0,1673913.043,0
5/19/70,1970,5,19,134782.6087,0.024198251,1673913.043,0.329154519
5/20/70,1970,5,20,134782.6087,0.001534448,1673913.043,0.019756023
5/21/70,1970,5,21,134782.6087,0,1673913.043,0
5/22/70,1970,5,22,134782.6087,0,1673913.043,0
5/23/70,1970,5,23,134782.6087,0,1673913.043,0
5/24/70,1970,5,24,134782.6087,0.000869521,1673913.043,0.008107002
5/25/70,1970,5,25,134782.6087,0.000547701,1673913.043,0.004507996
5/26/70,1970,5,26,134782.6087,0.006952231,1673913.043,0.048889886
5/27/70,1970,5,27,134782.6087,0,1673913.043,0
5/28/70,1970,5,28,134782.6087,0.001457726,1673913.043,0.006195335
5/29/70,1970,5,29,134782.6087,0.001879699,1673913.043,0.010293591
5/30/70,1970,5,30,134782.6087,0,1673913.043,0
5/31/70,1970,5,31,134782.6087,0.000911079,1673913.043,0.00856414
6/1/70,1970,6,1,134782.6087,0,1673913.043,0
6/2/70,1970,6,2,134782.6087,0,1673913.043,0
6/3/70,1970,6,3,134782.6087,0,1673913.043,0
6/4/70,1970,6,4,134782.6087,0,1673913.043,0
6/5/70,1970,6,5,134782.6087,0,1673913.043,0
6/6/70,1970,6,6,134782.6087,0,1673913.043,0
6/7/70,1970,6,7,134782.6087,0,1673913.043,0
6/8/70,1970,6,8,134782.6087,0,1673913.043,0
6/9/70,1970,6,9,134782.6087,0.001430316,1673913.043,0.009351873
