date,obs.Fe.4m,obs.Fe.6m,obs.Fe.8m,obs.Fe.10m
5/9/72,0.23,0.32,1.93,5
5/16/72,0.18,0.22,2.92,5.45
5/30/72,0.17,0.21,2.77,5.34
6/13/72,0.2,0.25,3.23,6.01
6/27/72,0.15,0.48,3.34,5.48
7/11/72,0.2,1.13,3.12,5.95
7/25/72,0.15,0.82,3.81,5.84
8/8/72,0.15,1.83,3.97,6.15
8/22/72,0.2,1.47,3.98,5.94
9/5/72,0.25,1.7,4.07,6.74
9/19/72,0.21,1.9,4.24,7.23
10/3/72,0.14,2.15,5.28,7.86
10/17/72,0.38,0.36,0.33,7.33
12/12/72,0.35,0.3,0.42,3.7
1/23/73,0.31,0.27,1.56,4.5
2/20/73,0.24,0.38,1.59,6.01
3/20/73,0.3,0.4,1.8,12.2
4/12/73,0.03,0.11,0.2,1.06
5/2/73,0.06,0.12,0.31,1
5/6/74,1.01,2.2,4.05,9.82
5/21/74,0.2,2.62,7.16,8.9
6/4/74,0.15,2.91,7.15,8.8
6/18/74,0.16,3.45,5.25,8
7/2/74,0.11,3.2,7.1,8.9
7/16/74,0.11,3.47,6.41,8.14
7/30/74,0.1,3.21,5.96,8.99
8/13/74,0.04,3.4,6.49,9.01
8/27/74,0.09,3.82,7.11,9.37
9/10/74,0.06,3.26,6.11,8.57
9/24/74,0.04,3.95,6.65,8.65
10/8/74,0.2,0.23,6.38,10.3
10/22/74,0.36,0.36,0.35,0.37
11/5/74,0.27,0.28,0.28,0.43
11/21/74,0.34,0.32,0.33,0.77
12/11/74,0.26,0.26,0.31,11.6
1/22/75,0.18,0.16,1.2,10.8
3/4/75,0.18,0.32,1.87,10.6
4/1/75,0.15,0.78,2.03,10.8
5/13/75,0.2,1.27,3.59,14.3
6/10/75,0.18,1.13,6.61,12.1
7/8/75,0.19,2.05,5.56,8.74
8/5/75,0.05,2.29,5.69,8.23
9/2/75,0.08,3.18,6.51,8.86
9/30/75,0.04,3.29,6.97,8.69
10/28/75,0.12,0.16,3.33,9.08
5/11/76,0.04,0.08,3.44,10.7
6/8/76,0.11,0.11,4.61,11.1
7/6/76,0.04,0.3,5.46,8.4
8/3/76,0.04,0.62,5.97,8.63
8/31/76,0.04,0.93,6.92,7.88
9/28/76,0.04,0.23,3.11,3.85
3/29/77,0.13,1.33,3.42,8.44
5/3/77,0.07,1.48,3.33,5.33
5/31/77,0.08,2.2,4.12,6.04
6/28/77,0.04,2.42,3.96,6.88
7/26/77,0.04,2.93,4.72,6.85
8/23/77,0.04,3.25,5.33,7.16
9/20/77,0.1,3.27,5.42,7.41
10/18/77,0.18,0.25,6.22,10.1
11/1/77,0.16,0.23,5.64,6.61
12/13/77,0.78,0.59,2.11,23.1
1/10/78,0.34,1.05,2.94,5.27
2/13/78,0.78,1.89,4.67,13.3
3/13/78,1.03,2.14,4.88,14.5
6/6/78,0.08,3.27,5.64,7.58
7/4/78,0.04,3.85,5.83,7.78
8/1/78,0.04,4.14,6.6,8.2
8/29/78,0.04,4.62,7,9.31
9/26/78,0.04,4.69,7,8.36
10/24/78,0.25,0.29,7.16,19.1
12/6/78,0.28,0.33,0.57,30.9
1/10/79,0.4,0.36,2.29,39.5
2/14/79,0.32,1.44,3.16,36.4
3/28/79,0.98,1.84,4.12,49.8
5/22/79,0.36,0.43,3.83,15.5
6/19/79,0.31,1.96,6.69,9.61
7/17/79,0.41,2.27,6.13,9.5
8/14/79,0.64,2.79,7.5,9.24
9/11/79,0.64,3.11,7.63,9.11
10/9/79,0.08,3.25,6.6,7.88
10/30/79,0.32,0.32,0.32,7.02
12/17/79,0.33,0.43,1.28,49.9
1/22/80,0.23,0.23,1.73,24.4
2/27/80,0.23,1.08,3.83,52
3/19/80,0.18,1.07,2.96,48.8
5/6/80,0.13,1.99,4.71,14.1
6/5/80,0.14,2.62,6.79,13.3
7/1/80,0.07,3.33,6.66,12
7/29/80,0.22,3.05,6.55,8.99
8/26/80,0.55,4.52,7.73,9.92
9/23/80,0.11,3.91,7.03,9.23
10/21/80,0.32,0.36,4.33,10.9
12/8/80,0.25,0.32,0.36,34.1
1/12/81,0.38,0.31,3.17,22.3
2/9/81,0.17,0.31,3.59,28.6
3/16/81,0.28,1.06,4.39,20.5
5/4/81,0.05,0.08,3.99,14.47
6/2/81,0.08,0.27,8.4,12.13
6/30/81,0.02,1.01,6.51,10.3
7/28/81,0.015,2.24,8.01,9.24
8/25/81,0.57,3.32,7.77,NaN
9/22/81,0.45,1,4.84,NaN
10/20/81,0.28,0.55,6.38,NaN
12/15/81,0.31,0.31,0.46,NaN
1/13/82,0.23,0.23,0.58,15.77
2/10/82,0.25,0.21,2.61,18.95
3/10/82,0.21,0.83,3.35,18.02
5/11/82,0.37,1.45,7.64,9.51
