date,Year,Month,Day,Obs_TP,Obs_chla,Obs_TDP,Obs_DOC
6/26/69,1969,6,26,7,2.7,6,
7/3/69,1969,7,3,10,9.7,9,
7/7/69,1969,7,7,5,10.1,3,
7/9/69,1969,7,9,,,,
7/17/69,1969,7,17,20,10.2,16,
7/22/69,1969,7,22,,,,
7/24/69,1969,7,24,28,13.2,12,
7/30/69,1969,7,30,46,15,13,
8/3/69,1969,8,3,,,,
8/7/69,1969,8,7,34,24.1,5,
8/20/69,1969,8,20,28,8.5,8,
8/22/69,1969,8,22,,,,
8/27/69,1969,8,27,28,13.4,6,
9/3/69,1969,9,3,9,43.5,9,
9/8/69,1969,9,8,27,38.8,2,
9/17/69,1969,9,17,19,48.1,4,
9/24/69,1969,9,24,3,51.8,3,
10/1/69,1969,10,1,7,41.2,7,
10/16/69,1969,10,16,24,13.1,10,
10/29/69,1969,10,29,11,8.9,5,
5/8/70,1970,5,8,7,3.2,,
5/16/70,1970,5,16,,5.6,,
5/18/70,1970,5,18,,,,
5/19/70,1970,5,19,,2.5,,
5/25/70,1970,5,25,14,1,7,
5/26/70,1970,5,26,21,4.2,9,
5/27/70,1970,5,27,16,4.3,3,
6/2/70,1970,6,2,16,7.9,4,
6/9/70,1970,6,9,17,11.5,1,
6/16/70,1970,6,16,22,18.2,5,
6/23/70,1970,6,23,29,23.8,7,
6/30/70,1970,6,30,22,32.6,1,
7/7/70,1970,7,7,26,24,3,
7/14/70,1970,7,14,36,35.1,7,
7/21/70,1970,7,21,49,60.8,9,
7/28/70,1970,7,28,21,4.5,3,
8/4/70,1970,8,4,29,63.5,,
8/11/70,1970,8,11,40,59,6,
8/18/70,1970,8,18,50,69.5,,
8/25/70,1970,8,25,43,58.4,9,
9/1/70,1970,9,1,37,50.5,12,
9/8/70,1970,9,8,49,42.4,16,
9/15/70,1970,9,15,38,28,10,
9/22/70,1970,9,22,24,15.7,7,
9/29/70,1970,9,29,33,5.8,13,
10/6/70,1970,10,6,35,5.6,14,
10/13/70,1970,10,13,34,7.8,12,
10/20/70,1970,10,20,9,9.4,9,
10/27/70,1970,10,27,26,8.3,8,
5/4/71,1971,5,4,57,2.7,47,534
5/11/71,1971,5,11,21,3.6,11,706
5/18/71,1971,5,18,13,5.8,6,886
5/25/71,1971,5,25,47,13.3,33,827
6/1/71,1971,6,1,50,11.1,50,886
6/8/71,1971,6,8,19,25.9,1,
6/15/71,1971,6,15,86,27.2,14,
6/22/71,1971,6,22,19,21.7,8,
6/25/71,1971,6,25,,,,
6/29/71,1971,6,29,27,16.6,14,
7/6/71,1971,7,6,30,30.4,11,796
7/13/71,1971,7,13,39,38.4,15,1136
7/20/71,1971,7,20,24,33.9,,
7/27/71,1971,7,27,20,7.9,11,
8/3/71,1971,8,3,30,6.2,14,
8/10/71,1971,8,10,20,13.5,4,173
8/17/71,1971,8,17,25,31.5,6,726
8/24/71,1971,8,24,24,37.6,3,
8/31/71,1971,8,31,45,34.8,18,
9/7/71,1971,9,7,40,18.7,13,
9/14/71,1971,9,14,41,15.7,6,
9/21/71,1971,9,21,34,11.1,9,
9/28/71,1971,9,28,26,11.6,11,702
10/5/71,1971,10,5,23,9.8,11,
10/12/71,1971,10,12,29,13.7,15,
10/19/71,1971,10,19,17,12.3,10,
10/26/71,1971,10,26,19,11.9,10,695
5/9/72,1972,5,9,13,6.4,6,563
5/16/72,1972,5,16,12,6.8,5,615
5/30/72,1972,5,30,38,41.7,9,463
6/13/72,1972,6,13,47,68.2,8,537
6/27/72,1972,6,27,57,65.1,7,216
7/11/72,1972,7,11,59,126,9,
7/25/72,1972,7,25,80,161,11,272
8/8/72,1972,8,8,85,68.3,22,332
8/22/72,1972,8,22,57,25.9,14,257
9/5/72,1972,9,5,61,35.4,15,
9/19/72,1972,9,19,44,42.7,18,825
9/26/72,1972,9,26,,,,
10/3/72,1972,10,3,62,47.8,16,693
10/17/72,1972,10,17,47,48.8,14,688
5/2/73,1973,5,2,17,8.8,8,823
5/15/73,1973,5,15,14,4.9,6,769
5/28/73,1973,5,28,21,14.2,7,
6/11/73,1973,6,11,50,52.6,7,813
6/25/73,1973,6,25,56,110,9,
7/9/73,1973,7,9,73,155,8,1021
7/23/73,1973,7,23,76,191,19,
8/6/73,1973,8,6,56,23.3,12,1034
8/20/73,1973,8,20,43,16.9,10,
9/3/73,1973,9,3,24,14.2,9,665
9/17/73,1973,9,17,29,20.6,6,
10/1/73,1973,10,1,163,24.9,9,793
10/15/73,1973,10,15,30,61.9,7,911
10/29/73,1973,10,29,12,23.3,12,614
5/6/74,1974,5,6,21,11.1,8,744
5/21/74,1974,5,21,12,4.8,6,782
5/28/74,1974,5,28,,10.3,,
6/4/74,1974,6,4,22,23.7,6,781
6/18/74,1974,6,18,41,57.1,8,
7/2/74,1974,7,2,54,55.7,11,753
7/16/74,1974,7,16,35,14.4,11,1187
7/30/74,1974,7,30,28,17,12,663
8/13/74,1974,8,13,42,52.9,10,997
8/27/74,1974,8,27,37,29.6,9,669
9/3/74,1974,9,3,,31.9,,
9/10/74,1974,9,10,38,43.4,10,648
9/24/74,1974,9,24,43,33.9,9,605
10/8/74,1974,10,8,39,46.3,8,499
10/22/74,1974,10,22,36,44.5,8,584
5/13/75,1975,5,13,32,6.3,9,695
5/27/75,1975,5,27,22,7.6,7,721
6/10/75,1975,6,10,42,21.3,8,813
6/24/75,1975,6,24,31,17.6,8,814
7/8/75,1975,7,8,39,30.5,13,957
7/22/75,1975,7,22,48,16.4,16,946
8/5/75,1975,8,5,32,19,12,853
8/19/75,1975,8,19,32,8.9,10,775
9/2/75,1975,9,2,34,15.8,11,812
9/16/75,1975,9,16,31,15.9,9,784
9/30/75,1975,9,30,33,28.2,14,759
10/14/75,1975,10,14,24,8,9,732
10/28/75,1975,10,28,20,29.5,7,743
5/11/76,1976,5,11,20,10.6,8,642
5/25/76,1976,5,25,15,1.7,6,657
6/8/76,1976,6,8,26,19.7,6,623
6/22/76,1976,6,22,30,33.9,9,721
7/6/76,1976,7,6,30,17.6,9,794
7/20/76,1976,7,20,31,14.2,10,777
8/3/76,1976,8,3,29,29.3,9,781
8/17/76,1976,8,17,31,26.8,8,890
8/31/76,1976,8,31,29,19.9,9,865
9/14/76,1976,9,14,28,20,6,875
9/28/76,1976,9,28,30,29.3,7,940
10/12/76,1976,10,12,44,66.2,6,915
5/3/77,1977,5,3,27,4.2,8,750
5/17/77,1977,5,17,25,10.4,11,
5/31/77,1977,5,31,23,6.2,10,720
6/14/77,1977,6,14,26,14.8,9,
6/28/77,1977,6,28,30,3.4,9,1170
7/12/77,1977,7,12,46,11.8,13,
7/26/77,1977,7,26,38,22.9,13,1170
8/9/77,1977,8,9,44,28.1,15,
8/23/77,1977,8,23,41,28.3,10,1050
9/7/77,1977,9,7,19,20.7,13,
9/20/77,1977,9,20,41,26.9,11,920
10/4/77,1977,10,4,28,16.9,10,
10/18/77,1977,10,18,37,32.7,8,850
5/9/78,1978,5,9,28,13.9,9,710
5/16/78,1978,5,16,,,,
5/23/78,1978,5,23,19,5.7,6,
6/6/78,1978,6,6,22,11.6,8,670
6/20/78,1978,6,20,26,11,8,
7/4/78,1978,7,4,23,7.7,9,780
7/18/78,1978,7,18,32,17.2,12,
8/1/78,1978,8,1,32,21.4,11,780
8/15/78,1978,8,15,47,21,11,
8/20/78,1978,8,20,,,,
8/29/78,1978,8,29,61,39.6,12,900
9/12/78,1978,9,12,61,59.4,11,
9/26/78,1978,9,26,62,41.7,14,1070
10/10/78,1978,10,10,56,41.4,9,
10/24/78,1978,10,24,54,46.4,7,1010
5/22/79,1979,5,22,32,33.1,6,1050
6/5/79,1979,6,5,49,34,10,
6/19/79,1979,6,19,61,21.5,7,1540
7/3/79,1979,7,3,74,21.9,8,
7/17/79,1979,7,17,99,21.9,17,2100
7/31/79,1979,7,31,94,30.6,15,
8/14/79,1979,8,14,111,49.1,16,2220
8/28/79,1979,8,28,68,60.4,16,2310
9/11/79,1979,9,11,59,56.4,13,2040
9/25/79,1979,9,25,12,21.8,12,1930
10/9/79,1979,10,9,46,24.7,10,1630
10/23/79,1979,10,23,44,18.8,9,1460
10/30/79,1979,10,30,39,19.7,9,1390
5/6/80,1980,5,6,26,22.9,7,1280
5/20/80,1980,5,20,13,31.5,8,
6/5/80,1980,6,5,84,17.6,24,1427
6/17/80,1980,6,17,71,41.3,9,
7/1/80,1980,7,1,67,57.5,9,1554
7/15/80,1980,7,15,76,60.5,12,1975
7/29/80,1980,7,29,52,45,26,1895
8/12/80,1980,8,12,73,51.5,13,
8/26/80,1980,8,26,85,61.5,13,2295
9/9/80,1980,9,9,90,71.5,10,2200
9/23/80,1980,9,23,117,99.5,11,980
10/7/80,1980,10,7,93,91,11,2090
10/21/80,1980,10,21,102,62,8,3040
5/4/81,1981,5,4,20,7.2,9,2740
5/18/81,1981,5,18,,13.4,,
5/19/81,1981,5,19,26,13.4,7,2500
6/1/81,1981,6,1,,18.4,,
6/2/81,1981,6,2,24,18.4,2,1970
6/15/81,1981,6,15,,16.3,,
6/16/81,1981,6,16,50,11.4,8,1940
6/29/81,1981,6,29,,6.9,,
6/30/81,1981,6,30,40,11.4,10,1760
7/13/81,1981,7,13,,9.8,,
7/14/81,1981,7,14,42,5.7,8,1700
7/27/81,1981,7,27,,13,,
7/28/81,1981,7,28,53,13.3,9,2470
8/10/81,1981,8,10,,18.8,,
8/11/81,1981,8,11,55,38.5,9,2270
8/24/81,1981,8,24,,18.4,,
8/25/81,1981,8,25,41,17.2,25,2700
8/26/81,1981,8,26,,,,
9/8/81,1981,9,8,59,18.2,9,2000
9/21/81,1981,9,21,,18.43,,
9/22/81,1981,9,22,83,44.5,13,2080
10/5/81,1981,10,5,,34.6,,
10/6/81,1981,10,6,63,34.3,11,2180
10/14/81,1981,10,14,,25.55,,
10/20/81,1981,10,20,53,55.3,7,2940
5/5/82,1982,5,5,22,8.6,8,1640
5/11/82,1982,5,11,33,10.2,10,1610
5/17/82,1982,5,17,,13.82,,
5/18/82,1982,5,18,,13.82,,
5/25/82,1982,5,25,21,16.8,7,
5/31/82,1982,5,31,,7.35,,
6/8/82,1982,6,8,31,7.6,6,1530
6/14/82,1982,6,14,,4.26,,
6/15/82,1982,6,15,25,4.8,8,
6/22/82,1982,6,22,31,6.2,14,
6/29/82,1982,6,29,51,10,9,
7/6/82,1982,7,6,32,21.7,9,1710
7/12/82,1982,7,12,,29.46,,
7/14/82,1982,7,14,30,44.6,6,
7/20/82,1982,7,20,31,68.2,8,
7/26/82,1982,7,26,,63.12,,
7/27/82,1982,7,27,64,94.9,14,
7/28/82,1982,7,28,,52.73,,
8/3/82,1982,8,3,40,81.5,10,1870
8/9/82,1982,8,9,,38.66,,
8/10/82,1982,8,10,43,79.3,13,
8/17/82,1982,8,17,53,116.5,16,
8/23/82,1982,8,23,,103.58,,
8/24/82,1982,8,24,56,127.9,17,
8/31/82,1982,8,31,67,84,23,1530
9/6/82,1982,9,6,,89.6,,
9/7/82,1982,9,7,85,80.7,22,
9/14/82,1982,9,14,70,97.3,21,
9/20/82,1982,9,20,,75.1,,
9/21/82,1982,9,21,48,76.1,12,
9/28/82,1982,9,28,39,36.5,11,1390
10/5/82,1982,10,5,31,23.5,10,
10/12/82,1982,10,12,60,44.8,13,
10/13/82,1982,10,13,,16.71,,
10/19/82,1982,10,19,40,28.7,11,
10/25/82,1982,10,25,,33.27,,
10/26/82,1982,10,26,55,34.3,13,1450
5/8/83,1983,5,8,,1.1,,
5/11/83,1983,5,11,34,6,12,1170
5/15/83,1983,5,15,,8.8,,
5/17/83,1983,5,17,41,5.8,14,1110
5/24/83,1983,5,24,38,10.6,12,1230
5/29/83,1983,5,29,,6,,
5/31/83,1983,5,31,39,8.3,11,1040
6/7/83,1983,6,7,39,4.9,12,1180
6/12/83,1983,6,12,,4.6,,
6/14/83,1983,6,14,37,4.7,10,930
6/21/83,1983,6,21,41,4.8,18,1160
6/26/83,1983,6,26,,12.3,,
6/28/83,1983,6,28,34,12.9,10,890
7/5/83,1983,7,5,33,24.8,9,960
7/10/83,1983,7,10,,16.3,,
7/12/83,1983,7,12,39,14.6,15,1200
7/13/83,1983,7,13,,15.5,,
7/19/83,1983,7,19,31,29.1,10,1110
7/20/83,1983,7,20,,14.6,,
7/24/83,1983,7,24,,27.8,,
