date,obs.O2.2m,obs.O2.3m,obs.O2.4m,obs.O2.6m,obs.O2.8m,obs.O2.10m
7/3/69,,9.3,,,,
7/17/69,,10,,,,
7/30/69,,11,,,,
8/7/69,,9.4,,,0.01,
8/20/69,,9.2,,,,
8/27/69,,10.3,,,,
10/16/69,,8.5,,,,
10/29/69,,10.3,,,,
11/12/69,,10.9,,,,
12/9/69,10.45,10.06,9.39,,,
5/8/70,6.02,3.78,2.16,0.78,0.01,0.01
5/16/70,8.15,5.5,2.76,0.35,0.01,0.01
5/18/70,8.21,7.45,,,,
5/25/70,9.2,8.1,7.3,,0.01,0.01
5/27/70,9.7,8.82,7.66,0.7,0.01,0.01
6/2/70,10.8,8.24,9.8,1.4,0.04,0.01
6/9/70,11.4,11.6,6.9,1.7,0.01,0.01
6/16/70,12,9.5,6.2,0.08,0.01,0.01
6/23/70,11.08,12.24,5.04,0.12,0.01,0.01
6/30/70,12.14,8.02,9.63,0.05,0.01,0.01
7/7/70,9.62,11.33,12.06,0.01,0.01,0.01
7/14/70,,13.81,7,0.88,0.01,0.01
7/21/70,10.12,12.17,11.32,0.19,0.01,
7/28/70,,0.4,,0.2,0.01,0.01
8/4/70,9.53,13.1,4,0.01,0.01,0.01
8/11/70,8.38,12.3,2.9,0.74,0.01,0.01
8/18/70,9.31,,8.87,0.33,0.01,0.01
8/25/70,9.22,7.84,8.2,1.52,0.01,0.01
9/1/70,9.61,10.12,9.43,1.18,0.01,0.01
9/8/70,9.34,9.12,8.5,0.05,0.01,
9/15/70,10.11,10.16,10.05,0.47,0.01,0.01
9/22/70,10.12,10.59,9.48,1.07,0.01,0.01
9/29/70,8.44,8.08,7.57,0.01,0.01,0.01
10/6/70,8.88,6.9,6.5,3.8,0.01,0.01
10/13/70,6.51,6.54,6.51,6.57,6.53,6.52
10/20/70,6.83,6.87,6.96,6.37,5.5,2.63
10/27/70,9.58,7.64,7.38,5.5,3.12,0.01
11/10/70,9.1,8.8,8.75,8.59,8.62,2.8
12/9/70,7.51,8.15,7.7,6.9,6.7,0.01
1/19/71,5.82,5.42,4.18,3.84,0.6,0.24
2/23/71,3.42,1.72,1.38,0.5,0.5,0.01
3/31/71,1.03,0.01,0.01,0.01,0.01,0.01
5/4/71,8.82,8.62,7.2,2.05,0.01,0.01
5/11/71,8.31,9.19,6,1.55,0.01,0.01
5/18/71,9.6,11.4,7.85,6.09,0.01,0.01
5/25/71,11.72,11.65,10.91,0.63,0.01,
