datenum,date,obs.Temp1m,obs.Temp4m,obs.Temp9m,,,,,,,
19680615,6/15/68,16.1,9.1,4.9,,,,,,,
19680706,7/6/68,18.7,9.5,4.6,,,,,,,
19681109,11/9/68,3.4,4,4.1,,,,,,,
19690121,1/21/69,3,4.3,4.8,,,,,,,
19690422,4/22/69,4.5,4.4,4.4,,,,,,,
19690507,5/7/69,11.8,5.5,4.2,,,,,,,
19690517,5/17/69,11.7,6.6,4.4,,,,,,,
19690527,5/27/69,16.8,8.1,4.4,,,,,,,
19690611,6/11/69,16.7,9.2,4.6,,,,,,,
19690625,6/25/69,16.8,9.7,4.3,,,,,,,
19690707,7/7/69,18.1,11.2,4.6,,,,,,,
19690717,7/17/69,22.5,17.9,6,,,,,,,
19690917,9/17/69,16.6,14.3,5.4,,,,,,,
19690924,9/24/69,13.7,13.5,5.3,,,,,,,
19691001,10/1/69,10.5,10.5,5.6,,,,,,,
19691016,10/16/69,6.8,6.8,5.5,,,,,,,
19691029,10/29/69,2.8,3.5,3.8,,,,,,,
19700122,1/22/70,1.1,4,4,,,,,,,
19700226,2/26/70,0.5,3.4,4.2,,,,,,,
19700409,4/9/70,1.5,3.6,4.1,,,,,,,
19700516,5/16/70,5.6,3.6,4.3,,,,,,,
19700518,5/18/70,9.2,4.3,4.2,,,,,,,
19700519,5/19/70,10.7,4.6,4.2,,,,,,,
19700522,5/22/70,12.2,4.8,4.2,,,,,,,
19700525,5/25/70,14.3,4.7,4.1,,,,,,,
19700526,5/26/70,10.4,5.3,4.4,,,,,,,
19700528,5/28/70,11.6,5.3,4.5,,,,,,,
19700529,5/29/70,11.3,6,5.4,,,,,,,
19700602,6/2/70,14,7.3,4.5,,,,,,,
19700609,6/9/70,22.3,5.4,4.2,,,,,,,
19700616,6/16/70,15.6,8.1,4.8,,,,,,,
19700701,7/1/70,22.1,5.3,5.5,,,,,,,
19700707,7/7/70,22.8,7.5,5.7,,,,,,,
19700714,7/14/70,25.9,7.8,5.5,,,,,,,
19700721,7/21/70,22.7,7.7,5.4,,,,,,,
19700728,7/28/70,23.5,7.5,4.3,,,,,,,
19700804,8/4/70,20.1,9.2,4.3,,,,,,,
19700811,8/11/70,24.1,8.2,4.4,,,,,,,
19700818,8/18/70,20.9,9.4,4.4,,,,,,,
19700825,8/25/70,19.8,9.5,4.5,,,,,,,
19700901,9/1/70,17.9,9.6,4.8,,,,,,,
19700908,9/8/70,18.1,10.2,4.3,,,,,,,
19700915,9/15/70,12.1,10.5,4.5,,,,,,,
19700922,9/22/70,13.8,11.6,4.5,,,,,,,
19700929,9/29/70,11.4,11,4.5,,,,,,,
19701006,10/6/70,10.5,11.1,4.6,,,,,,,
19701013,10/13/70,5.4,9.5,5.4,,,,,,,
19701020,10/20/70,5.5,5.4,4.8,,,,,,,
19701027,10/27/70,8,5.2,4.8,,,,,,,
19701110,11/10/70,3.4,5.6,3.9,,,,,,,
19701209,12/9/70,2.7,3.7,4,,,,,,,
19710120,1/20/71,1.9,3.8,4.2,,,,,,,
19710223,2/23/71,1.4,4,4.1,,,,,,,
19710331,3/31/71,0.9,4,4.2,,,,,,,
19710504,5/4/71,8.9,3.9,4.3,,,,,,,
19710507,5/7/71,12.1,5.3,4.3,,,,,,,
19710511,5/11/71,12.3,5.4,4.3,,,,,,,
19710518,5/18/71,12.5,5.5,4.3,,,,,,,
19710525,5/25/71,9.3,6.1,4.3,,,,,,,
19710608,6/8/71,17.9,7.7,4.4,,,,,,,
19710615,6/15/71,21.5,8.1,4.5,,,,,,,
19710622,6/22/71,21.7,8.7,4.5,,,,,,,
19710625,6/25/71,20,8.3,4.5,,,,,,,
19710629,6/29/71,21.3,8.5,4.5,,,,,,,
19710706,7/6/71,21.5,9.2,4.7,,,,,,,
19710713,7/13/71,20.4,9.1,4.6,,,,,,,
19710720,7/20/71,21.3,9.9,4.6,,,,,,,
19710727,7/27/71,18.8,10.3,4.6,,,,,,,
19710803,8/3/71,17,10.6,4.6,,,,,,,
19710810,8/10/71,22.1,11.3,4.7,,,,,,,
