date,Obs_TP,Obs_chla,Obs_TDP,Obs_PP,obs.O2.4m,obs.O2.6m,obs.O2.8m,obs.O2.10m,Year,Month,Day
6/26/69,7,2.7,6,1,,,,,1969,6,26
7/3/69,10,9.7,9,1,,,,,1969,7,3
7/7/69,5,10.1,3,2,,,,,1969,7,7
7/9/69,,,,,,,,,1969,7,9
7/17/69,20,10.2,16,4,,,,,1969,7,17
7/22/69,,,,,,,,,1969,7,22
7/24/69,28,13.2,12,16,,,,,1969,7,24
7/30/69,46,15,13,33,,,,,1969,7,30
8/3/69,,,,,,,,,1969,8,3
8/7/69,34,24.1,5,29,,,0.01,,1969,8,7
8/20/69,28,8.5,8,20,,,,,1969,8,20
8/22/69,,,,,,,,,1969,8,22
8/27/69,28,13.4,6,22,,,,,1969,8,27
9/3/69,9,43.5,9,,,,,,1969,9,3
9/8/69,27,38.8,2,25,,,,,1969,9,8
9/17/69,19,48.1,4,15,,,,,1969,9,17
9/24/69,3,51.8,3,,,,,,1969,9,24
10/1/69,7,41.2,7,,,,,,1969,10,1
10/16/69,24,13.1,10,14,,,,,1969,10,16
10/29/69,11,8.9,5,6,,,,,1969,10,29
11/12/69,,,,,,,,,1969,11,12
12/9/69,,,,,9.39,,,,1969,12,9
5/8/70,7,3.2,,7,2.16,0.78,0.01,0.01,1970,5,8
5/16/70,,5.6,,,2.76,0.35,0.01,0.01,1970,5,16
5/18/70,,,,,,,,,1970,5,18
5/19/70,,2.5,,,,,,,1970,5,19
5/25/70,14,1,7,7,7.30,,0.01,0.01,1970,5,25
5/26/70,21,4.2,9,12,,,,,1970,5,26
5/27/70,16,4.3,3,13,7.66,0.70,0.01,0.01,1970,5,27
6/2/70,16,7.9,4,12,9.80,1.40,0.04,0.01,1970,6,2
6/9/70,17,11.5,1,16,6.90,1.70,0.01,0.01,1970,6,9
6/16/70,22,18.2,5,17,6.20,0.08,0.01,0.01,1970,6,16
6/23/70,29,23.8,7,22,5.04,0.12,0.01,0.01,1970,6,23
6/30/70,22,32.6,1,21,9.63,0.05,0.01,0.01,1970,6,30
7/7/70,26,24,3,23,12.06,0.01,0.01,0.01,1970,7,7
7/14/70,36,35.1,7,29,7.00,0.88,0.01,0.01,1970,7,14
7/21/70,49,60.8,9,40,11.32,0.19,0.01,,1970,7,21
7/28/70,21,4.5,3,18,,0.20,0.01,0.01,1970,7,28
8/4/70,29,63.5,,29,4.00,0.01,0.01,0.01,1970,8,4
8/11/70,40,59,6,34,2.90,0.74,0.01,0.01,1970,8,11
8/18/70,50,69.5,,50,8.87,0.33,0.01,0.01,1970,8,18
8/25/70,43,58.4,9,34,8.20,1.52,0.01,0.01,1970,8,25
