"Year","Ice.Off.Date","Ice.On.Date","Number.of.Ice.Free.Days"
"1969",1969-04-27,1969-11-16,203
"1970",1970-05-16,1970-11-15,183
"1971",1971-05-01,1971-11-10,193
"1972",1972-05-05,1972-11-14,193
"1973",1973-05-01,1973-11-18,201
"1974",1974-05-09,1974-11-15,190
"1975",1975-05-07,1975-11-23,200
"1976",1976-04-23,1976-11-08,199
"1977",1977-04-27,1977-11-22,209
"1978",1978-05-06,1978-11-19,197
"1979",1979-05-13,1979-11-11,182
"1980",1980-04-26,1980-11-21,209
"1981",1981-04-20,1981-11-20,214
"1982",1982-05-02,1982-11-21,203
"1983",1983-05-05,1983-12-01,210
"1984",1984-04-24,1984-11-15,205
"1985",1985-04-24,1985-11-21,211
"1986",1986-04-21,1986-11-11,204
"1987",1987-04-17,1987-11-21,218
"1988",1988-04-30,1988-11-23,207
"1989",1989-05-11,1989-11-17,190
"1990",1990-04-26,1990-11-19,207
"1991",1991-04-28,1991-11-04,190
"1992",1992-05-09,1992-11-15,190
"1993",1993-04-25,1993-11-06,195
"1994",1994-04-23,1994-11-23,214
"1995",1995-04-30,1995-11-08,192
"1996",1996-05-17,1996-11-14,181
"1997",1997-05-06,1997-11-16,194
"1998",1998-04-14,1998-11-20,220
"1999",1999-04-29,1999-11-23,208
"2000",2000-04-12,2000-11-22,224
"2001",2001-04-30,2001-11-29,213
"2002",2002-05-12,2002-11-13,185
"2003",2003-04-24,2003-11-22,212
"2004",2004-04-30,2004-11-25,209
"2005",2005-04-17,2005-11-25,222
"2006",2006-04-18,2006-11-19,215
"2007",2007-04-28,2007-11-22,208
"2008",2008-05-07,2008-11-21,198
"2009",2009-05-04,2009-12-05,215
"2010",2010-04-10,2010-11-24,228
"2011",2011-05-02,2011-11-29,211
"2012",2012-04-05,2012-11-24,233
"2013",2013-05-11,2013-11-22,195
"2014",2014-05-18,2014-11-21,187
"2015",2015-04-27,2015-12-02,219
"2016",2016-04-28,2016-12-10,226
"2017",2017-04-19,2017-11-10,205
