year,data_set,sample_id,sequence_number,location,sublocation,station,station_type,start_date,start_time,stratum,stratum_volume,sample_type,sample_top_depth,sample_bottom_depth,taxon,old_cell_volume,cell_volume,correction_factor,count_1,count_2,cell_length,cell_width,field_reference,cells_per_liter,biomass,collection_authority,collection_method,analyst
1970,P01,1,1,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P1020,2000,2661,200,1,,0,0,70PF0020,200,0.5322,144,TIP,144
1970,P01,1,2,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P1059,300,300,7184,1,,,,70PF0020,7184,2.1552,144,TIP,144
1970,P01,1,3,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P1062,50,32,7184,35,,1.8,1.3,70PF0020,251440,8.04608,144,TIP,144
1970,P01,1,4,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2105,1000,171,7184,3,,9,5.3,70PF0020,21552,3.68539,144,TIP,144
1970,P01,1,5,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2105,300,171,7184,4,,9,5.3,70PF0020,28736,4.91386,144,TIP,144
1970,P01,1,6,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2159,50,50,7184,2,,,,70PF0020,14368,0.7184,144,TIP,144
1970,P01,1,7,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2196,4000,1981,200,3,,23,18,70PF0020,600,1.1886,144,TIP,144
1970,P01,1,8,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2196,2000,1981,200,2,,23,18,70PF0020,400,0.7924,144,TIP,144
1970,P01,1,9,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2196,2000,1981,7184,1,,23,18,70PF0020,7184,14.2315,144,TIP,144
1970,P01,1,10,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2201,100,36,7184,6,,4.3,3.7,70PF0020,43104,1.55174,144,TIP,144
1970,P01,1,11,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P2206,15000,29503,200,5,,38,38,70PF0020,1000,29.503,144,TIP,144
1970,P01,1,12,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P3301,9000,6949,7184,5,,76.4,12.4,70PF0020,35920,249.60808,144,TIP,144
1970,P01,1,13,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P4351,100,50,7184,16,,4.6,4.6,70PF0020,114944,5.7472,144,TIP,144
1970,P01,1,14,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P4352,300,208,7184,2,,6.5,6.5,70PF0020,14368,2.98854,144,TIP,144
1970,P01,1,15,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P4362,100,31,7184,13,,3.8,3.8,70PF0020,93392,2.89515,144,TIP,144
1970,P01,1,16,227,LA,CB,FBS,1970-04-09,,EPI,165551,IND,0,5,P4387,750,358,7184,232,,19,6,70PF0020,1666688,596.6743,144,TIP,144
