,,,Start,End,Species ,,Subsample ,Raw cell,microscope,length,width,cell volume,density,biomass,
Lake,Date,Strata,depth (m),depth (m),code,Speceis name,volume (mls),count,factor,µ,µ,µ3,cells L-1,mg m-3,
227,2013-05-22,EPI,0.00,1.30,2121,Oocystis lacustris Chodat,2,3,39683,6.00,3.00,28.30,119049,3.37,
227,2013-05-22,EPI,0.00,1.30,2132,Scenedesmus denticulatus Lagerhiem,2,6,39683,9.30,5.00,81.20,238098,19.33,
227,2013-05-22,EPI,0.00,1.30,2137,Dictyosphaerium simplex Sukja,2,28,39683,6.00,6.00,113.10,1111124,125.67,
227,2013-05-22,EPI,0.00,1.30,2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,2,3,39683,20.00,1.50,17.70,119049,2.11,
227,2013-05-22,EPI,0.00,1.30,2145,Crucigenia quadrata Morr.,2,8,39683,3.00,3.00,4.70,317464,1.49,
227,2013-05-22,EPI,0.00,1.30,2199,Spondylosium planum (Wolle) W. and G.S. West,2,1,39683,6.00,6.00,37.70,39683,1.50,
227,2013-05-22,EPI,0.00,1.30,2235,Ankistrodesmus spiralis Lemmermann,2,2,39683,31.00,2.20,58.90,79366,4.67,
227,2013-05-22,EPI,0.00,1.30,4351,Small chrysophyceae,2,22,39683,3.00,3.00,14.10,873026,12.31,
227,2013-05-22,EPI,0.00,1.30,4352,Large chrysophyceae,2,8,39683,9.00,9.00,381.70,317464,121.18,
227,2013-05-22,EPI,0.00,1.30,4355,Chrysochromulina parva Lackey,2,233,39683,5.00,5.00,65.40,9246139,604.70,
227,2013-05-22,EPI,0.00,1.30,4355,Chrysochromulina parva Lackey,2,12,39683,10.00,6.00,188.50,476196,89.76,
227,2013-05-22,EPI,0.00,1.30,4388,Dinobryon sertularia Ehrenberg,2,1,39683,12.00,6.00,226.20,39683,8.98,
227,2013-05-22,EPI,0.00,1.30,4388,Dinobryon sertularia Ehrenberg,2,3,1000,0.00,0.00,10170.00,3000,30.51,
227,2013-05-22,EPI,0.00,1.30,4396,Chrysolkos skuja (Nauwerck) Willen,2,1,39683,6.00,3.00,28.30,39683,1.12,
227,2013-05-22,EPI,0.00,1.30,4403,Chrysosphaerella longispina Lauterborn,2,2,39683,11.00,11.00,696.90,79366,55.31,
227,2013-05-22,EPI,0.00,1.30,4418,Salpingoeca frequentissima (Zach.) Lemmermann,2,4,39683,6.00,4.00,50.30,158732,7.98,
227,2013-05-22,EPI,0.00,1.30,4436,Dinobryon attenatum Hill,2,1,39683,11.40,6.00,214.90,39683,8.53,
227,2013-05-22,EPI,0.00,1.30,5511,Rhizosolenia eriense H.L. Smith,2,1,39683,11.00,3.00,77.80,39683,3.09,
227,2013-05-22,EPI,0.00,1.30,5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2,3,39683,33.00,4.00,138.20,119049,16.45,
227,2013-05-22,EPI,0.00,1.30,6554,Rhodomonas minuta Skuja,2,1,39683,12.00,6.00,150.80,39683,5.98,
227,2013-05-22,EPI,0.00,1.30,6557,Cryptomonas pusilla Bachmann,2,14,39683,16.00,10.00,558.50,555562,310.28,
227,2013-05-22,EPI,0.00,1.30,6558,Cryptomonas erosa Ehrenberg,2,213,1000,24.20,14.00,1655.70,213000,352.66,
227,2013-05-22,EPI,0.00,1.30,6559,Cryptomonas ovata Ehrenberg,2,20,1000,40.00,16.00,3574.40,20000,71.49,
227,2013-05-22,EPI,0.00,1.30,6562,Cryptomonas reflexa (Marsson) Skuja,2,4,1000,21.00,10.00,733.00,4000,2.93,
227,2013-05-22,EPI,0.00,1.30,6565,Cryptomonas rostratiformis Skuja,2,26,1000,31.00,14.00,2120.90,26000,55.14,
227,2013-05-22,EPI,0.00,1.30,6568,Katablepharis ovalis Skuja,2,18,39683,8.60,4.00,51.60,714294,36.86,
227,2013-05-22,EPI,0.00,1.30,7632,Gymnodinium sp.,2,2,39683,10.60,8.00,355.20,79366,28.19,
227,2013-05-22,EPI,0.00,1.30,7632,Gymnodinium sp.,2,29,1000,34.00,34.00,20579.50,29000,596.81,
227,2013-05-22,EPI,0.00,1.30,7639,Peridinium pusillum (Penard) Lemmermann,2,8,1000,16.00,14.00,1642.00,8000,13.14,
227,2013-05-22,EPI,0.00,1.30,7641,Peridinium aciculiferum Lemmermann,2,82,1000,31.00,24.00,9349.40,82000,766.65,
227,2013-05-22,META,1.30,4.00,2101,Carteria spp.,2,1,39683,6.00,4.00,50.30,39683,2.00,
227,2013-05-22,META,1.30,4.00,2105,Chlamydomonas spp.,2,8,39683,8.00,5.00,104.70,317464,33.24,
227,2013-05-22,META,1.30,4.00,2107,Chlorogonium maximum Skuja,2,5,1000,82.00,6.00,2318.50,5000,11.59,
227,2013-05-22,META,1.30,4.00,2121,Oocystis lacustris Chodat,2,7,39683,6.00,4.00,50.30,277781,13.97,
227,2013-05-22,META,1.30,4.00,2126,Chodatella sp.,2,1,39683,6.00,4.00,50.30,39683,2.00,
227,2013-05-22,META,1.30,4.00,2132,Scenedesmus denticulatus Lagerhiem,2,8,39683,9.40,5.00,82.00,317464,26.03,
227,2013-05-22,META,1.30,4.00,2136,Dictyosphaerium pulchellum Wood,2,31,39683,6.00,6.00,113.10,1230173,139.13,
227,2013-05-22,META,1.30,4.00,2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,2,13,39683,21.00,1.50,18.60,515879,9.60,
227,2013-05-22,META,1.30,4.00,2235,Ankistrodesmus spiralis Lemmermann,2,2,39683,24.00,2.20,45.60,79366,3.62,
227,2013-05-22,META,1.30,4.00,3300,Euglena viridis Ehrenberg,2,1,1000,102.00,19.00,19280.00,1000,19.28,
227,2013-05-22,META,1.30,4.00,4351,Small chrysophyceae,2,46,39683,3.00,3.00,14.10,1825418,25.74,
227,2013-05-22,META,1.30,4.00,4352,Large chrysophyceae,2,6,39683,7.00,7.00,179.60,238098,42.76,
227,2013-05-22,META,1.30,4.00,4355,Chrysochromulina parva Lackey,2,122,39683,4.70,4.70,54.40,4841326,263.37,
227,2013-05-22,META,1.30,4.00,4388,Dinobryon sertularia Ehrenberg,2,3,39683,12.00,6.00,226.20,119049,26.93,
227,2013-05-22,META,1.30,4.00,4388,Dinobryon sertularia Ehrenberg,2,2,1000,0.00,0.00,10170.00,2000,20.34,
227,2013-05-22,META,1.30,4.00,4396,Chrysolkos skuja (Nauwerck) Willen,2,2,39683,5.60,3.00,26.40,79366,2.10,
227,2013-05-22,META,1.30,4.00,4413,Chrysochromulina laurentiana Kling,2,2,39683,11.00,11.00,696.90,79366,55.31,
227,2013-05-22,META,1.30,4.00,4418,Salpingoeca frequentissima (Zach.) Lemmermann,2,8,39683,6.00,3.00,28.30,317464,8.98,
227,2013-05-22,META,1.30,4.00,5511,Rhizosolenia eriense H.L. Smith,2,2,39683,11.00,3.00,77.80,79366,6.17,
227,2013-05-22,META,1.30,4.00,5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2,3,39683,33.00,4.00,138.20,119049,16.45,
227,2013-05-22,META,1.30,4.00,6557,Cryptomonas pusilla Bachmann,2,41,39683,16.00,10.00,558.50,1627003,908.68,
227,2013-05-22,META,1.30,4.00,6558,Cryptomonas erosa Ehrenberg,2,196,1000,22.60,12.00,1136.00,196000,222.66,
227,2013-05-22,META,1.30,4.00,6558,Cryptomonas erosa Ehrenberg,2,403,1000,24.60,14.00,1683.10,403000,678.29,
227,2013-05-22,META,1.30,4.00,6559,Cryptomonas ovata Ehrenberg,2,24,1000,40.00,16.00,3574.40,24000,85.79,
227,2013-05-22,META,1.30,4.00,6562,Cryptomonas reflexa (Marsson) Skuja,2,17,1000,21.00,10.00,733.00,17000,12.46,
227,2013-05-22,META,1.30,4.00,6565,Cryptomonas rostratiformis Skuja,2,71,1000,30.00,14.00,2052.50,71000,145.73,
227,2013-05-22,META,1.30,4.00,6568,Katablepharis ovalis Skuja,2,6,39683,8.60,4.30,55.50,238098,13.21,
227,2013-05-22,META,1.30,4.00,7632,Gymnodinium sp.,2,48,1000,36.00,36.00,24429.00,48000,"1,172.59",
227,2013-05-22,META,1.30,4.00,7639,Peridinium pusillum (Penard) Lemmermann,2,16,1000,18.00,16.00,2412.70,16000,38.60,
