location,sublocation,start_date,manipulation_type,item,item_description,manipulation_method,method_description,percent_purity,specific_gravity,amount,amount_units,corrected_amount,corrected_units,start_time,end_time,end_date,observation
227,LA,26-Jun-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,26-Jun-69,
227,LA,03-Jul-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,03-Jul-69,
227,LA,10-Jul-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,10-Jul-69,
227,LA,17-Jul-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,17-Jul-69,
227,LA,24-Jul-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,24-Jul-69,
227,LA,31-Jul-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,31-Jul-69,
227,LA,07-Aug-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,07-Aug-69,
227,LA,14-Aug-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,14-Aug-69,
227,LA,21-Aug-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,21-Aug-69,
227,LA,28-Aug-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,28-Aug-69,
227,LA,04-Sep-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,04-Sep-69,
227,LA,11-Sep-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,11-Sep-69,
227,LA,18-Sep-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,18-Sep-69,
227,LA,25-Sep-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,25-Sep-69,
227,LA,02-Oct-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,02-Oct-69,
227,LA,09-Oct-69,CHE,NP,PHOSPHORUS AS SODIUM PHOSPHATE,BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,,,4.54,kg,,kg,,,09-Oct-69,
227,LA,16-Oct-69,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,3.17,L,4.54,kg,,,16-Oct-69,
227,LA,26-May-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,26-May-70,
