"Location.ID","Sublocation","Station.ID","Date","Year","Time","Depth","End.Depth","Stratum","NO3","NO2","NH4","Susp.N","TDN","SRP","Susp.P","TDP","DIC","ELA.DIC","DOC","PC","chla","chla.hplc","Cl","SRSi","SO4","Conductivity","Na","K","Mg","Ca","Mn","TDFe","Fe2","Susp.Fe","pH.equil","pH.in.situ","Alkalinity","Org.acids","O2","H2S","TSS","Color","CH4","SO4.dnx","pH.rad","pCO2","Cl.dnx","DIC.pCO2","Analytical.ID","Sample.Note","Sample.Type","Field.Reference","Data.Set.ID"
227,"LA","CB",1968-06-14,68,NA,"0",NA,"EPI",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.87,0.3,1.24,1.67,NA,NA,NA,NA,NA,NA,NA,NA,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K369","","LA","68K369","C01"
227,"LA","CB",1968-06-14,68,NA,"1",NA,"",8,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,20,0.87,0.38,0.83,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K334","","LA","","C01"
227,"LA","CB",1968-06-14,68,NA,"3",NA,"",7,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,NA,18,0.87,0.29,0.85,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K335","","LA","","C01"
227,"LA","CB",1968-06-14,68,NA,"3",NA,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.85,0.25,1.2,1.67,NA,NA,NA,NA,NA,NA,NA,NA,10.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K370","","LA","68K370","C01"
227,"LA","CB",1968-06-14,68,NA,"6",NA,"",46,NA,NA,NA,150,0.5,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K336","","LA","","C01"
227,"LA","CB",1968-06-14,68,NA,"6",NA,"",28,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,23,1.01,0.33,1.86,2.03,NA,0.08,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K371","","LA","68K371","C01"
227,"LA","CB",1968-06-14,68,NA,"9",NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K372","","LA","68K372","C01"
227,"LA","CB",1968-07-05,68,NA,"0",NA,"EPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.85,0.27,1.05,1.84,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K538","","LA","68K538","C01"
227,"LA","CB",1968-07-05,68,NA,"3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.78,0.22,0.99,1.75,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K539","","LA","68K539","C01"
227,"LA","CB",1968-07-05,68,NA,"5",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0.83,0.28,1,1.82,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K540","","LA","68K540","C01"
