Date,Depth,Stratum,NO3,NH4,PN,TDN,PP,TDP,Chl
1/21/69,0,EPI,14,NaN,NaN,200,NaN,4,NaN
3/16/69,0,EPI,17,98,NaN,NaN,NaN,NaN,NaN
4/22/69,0,EPI,125,NaN,3,225,3,7,0.9
5/7/69,0,EPI,80,NaN,NaN,250,NaN,7,NaN
5/17/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/27/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/5/69,0,EPI,9,NaN,36,156,1,13,3.2
6/11/69,0,EPI,1,NaN,70,144,9,3,2.2
6/19/69,0,EPI,1,NaN,79,143,2,5,2.4
6/25/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/26/69,0,EPI,13,NaN,96,132,1,6,2.7
7/3/69,0,EPI,9,NaN,142,182,1,9,9.7
7/7/69,0,EPI,84,NaN,510,221,2,3,10.1
7/9/69,0,EPI,NaN,31,163,NaN,NaN,NaN,NaN
7/17/69,0,EPI,92,12,196,266,4,16,10.2
7/22/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/24/69,0,EPI,74,5,240,250,16,12,13.2
7/30/69,0,EPI,107,16,260,275,33,13,15
8/3/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/7/69,0,EPI,79,8,300,255,29,5,24.1
8/20/69,0,EPI,116,5,230,310,20,8,8.5
8/22/69,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/27/69,0,EPI,109,14,195,280,22,6,13.4
9/3/69,0,EPI,87,NaN,NaN,245,NaN,9,43.5
9/8/69,0,EPI,85,2,235,220,25,2,38.8
9/17/69,0,EPI,116,5,185,215,15,4,48.1
9/24/69,0,EPI,130,NaN,NaN,180,NaN,3,51.8
10/1/69,0,EPI,150,NaN,375,160,NaN,7,41.2
10/16/69,0,EPI,245,54,215,515,14,10,13.1
10/29/69,0,EPI,280,NaN,130,485,6,5,8.9
11/12/69,0,EPI,NaN,NaN,120,NaN,10,NaN,8.6
12/9/69,0,EPI,330,92,60,330,12,4,4
1/22/70,0,EPI,389,14,90,495,10,5,7.6
2/26/70,0,EPI,350,80,110,525,8,3,NaN
4/9/70,0,EPI,530,42,130,625,13,1,10.7
5/8/70,0,EPI,171,14,100,NaN,7,NaN,3.2
5/16/70,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,5.6
5/18/70,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/19/70,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,2.5
5/25/70,0,EPI,262,2,120,NaN,7,7,1
5/26/70,0,EPI,346,2,95,NaN,12,9,4.2
5/27/70,0,EPI,382,4,140,NaN,13,3,4.3
6/2/70,0,EPI,276,1,100,NaN,12,4,7.9
6/9/70,0,EPI,221,4,230,NaN,16,1,11.5
6/16/70,0,EPI,187,45,330,NaN,17,5,18.2
6/23/70,0,EPI,110,15,480,NaN,22,7,23.8
6/30/70,0,EPI,70,1,NaN,NaN,21,1,32.6
7/7/70,0,EPI,23,9,NaN,NaN,23,3,24
7/14/70,0,EPI,1,27,NaN,NaN,29,7,35.1
7/21/70,0,EPI,1,5,600,NaN,40,9,60.8
7/28/70,0,EPI,525,8,90,610,18,3,4.5
8/4/70,0,EPI,1,9,320,420,29,NaN,63.5
8/11/70,0,EPI,1,9,500,425,34,6,59
8/18/70,0,EPI,10,8,410,445,50,NaN,69.5
8/25/70,0,EPI,1,10,445,440,34,9,58.4
9/1/70,0,EPI,1,5,425,425,25,12,50.5
9/8/70,0,EPI,1,2,495,600,33,16,42.4
9/15/70,0,EPI,1,5,320,430,28,10,28
9/22/70,0,EPI,1,5,260,336,17,7,15.7
9/29/70,0,EPI,3,39,190,415,20,13,5.8
10/6/70,0,EPI,53,153,150,515,21,14,5.6
10/13/70,0,EPI,122,446,160,1120,22,12,7.8
10/20/70,0,EPI,178,420,NaN,1135,NaN,9,9.4
10/27/70,0,EPI,183,354,125,920,18,8,8.3
11/10/70,0,EPI,148,268,215,700,15,11,22
12/9/70,0,EPI,192,396,136,1260,23,13,17.7
1/19/71,0,EPI,152,778,141,1040,13,14,10
3/31/71,0,EPI,339,315,152,971,12,12,1.2
5/4/71,0,EPI,295,122,96,390,10,47,2.7
5/11/71,0,EPI,151,114,60,496,10,11,3.6
5/18/71,0,EPI,233,31,88,637,7,6,5.8
5/25/71,0,EPI,313,3,202,1120,14,33,13.3
6/1/71,0,EPI,259,1,101,327,NaN,50,11.1
6/8/71,0,EPI,106,1,285,265,18,1,25.9
6/15/71,0,EPI,8,7,442,284,72,14,27.2
6/22/71,0,EPI,2,8,366,274,11,8,21.7
6/25/71,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/29/71,0,EPI,30,12,269,344,13,14,16.6
7/6/71,0,EPI,20,13,326,398,19,11,30.4
7/13/71,0,EPI,1,3,401,201,24,15,38.4
7/20/71,0,EPI,NaN,NaN,399,NaN,24,NaN,33.9
7/27/71,0,EPI,34,28,177,252,9,11,7.9
8/3/71,0,EPI,136,28,209,336,16,14,6.2
8/10/71,0,EPI,122,12,253,325,16,4,13.5
8/17/71,0,EPI,2,17,378,231,19,6,31.5
8/24/71,0,EPI,5,48,432,288,21,3,37.6
8/31/71,0,EPI,1,20,424,187,27,18,34.8
9/7/71,0,EPI,5,17,347,275,27,13,18.7
9/14/71,0,EPI,86,31,318,294,35,6,15.7
9/21/71,0,EPI,195,6,232,326,25,9,11.1
9/28/71,0,EPI,224,12,181,302,15,11,11.6
10/5/71,0,EPI,270,4,122,348,12,11,9.8
10/12/71,0,EPI,323,57,314,359,14,15,13.7
10/19/71,0,EPI,322,119,NaN,409,7,10,12.3
10/26/71,0,EPI,379,9,73,598,9,10,11.9
11/9/71,0,EPI,355,408,90,639,12,10,18.2
12/16/71,0,EPI,353,424,107,783,18,9,21.7
1/18/72,0,EPI,340,397,68,686,4,5,1.4
4/6/72,0,EPI,479,14,50,1138,4,18,1.2
5/9/72,0,EPI,316,8,99,372,7,6,6.4
5/16/72,0,EPI,283,16,68,633,7,5,6.8
5/30/72,0,EPI,31,8,323,NaN,29,9,41.7
6/13/72,0,EPI,1,28,565,464,39,8,68.2
6/27/72,0,EPI,1,8,512,386,50,7,65.1
7/11/72,0,EPI,1,8,750,338,50,9,126
7/25/72,0,EPI,1,14,746,465,69,11,161
8/8/72,0,EPI,1,5,680,582,63,22,68.3
8/22/72,0,EPI,1,3,328,806,43,14,25.9
9/5/72,0,EPI,1,12,365,466,46,15,35.4
9/19/72,0,EPI,39,3,299,NaN,26,18,42.7
9/26/72,0,EPI,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/3/72,0,EPI,31,2,270,483,46,16,47.8
10/17/72,0,EPI,63,191,239,671,33,14,48.8
12/12/72,0,EPI,110,280,180,937,19,13,18.6
1/23/73,0,EPI,111,292,165,746,13,9,11.9
2/20/73,0,EPI,118,315,NaN,810,12,9,7.8
3/20/73,0,EPI,127,338,78,864,10,8,5.6
4/12/73,0,EPI,NaN,106,217,1700,17,9,20.4
5/2/73,0,EPI,82,46,138,447,9,8,8.8
5/15/73,0,EPI,43,6,110,364,8,6,4.9
5/28/73,0,EPI,1,7,191,333,14,7,14.2
6/11/73,0,EPI,2,20,392,344,43,7,52.6
6/25/73,0,EPI,1,25,587,NaN,47,9,110
