Access Code,Common Name,Phylum,Class,Order,Suborder,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Qualifier,Description Code,Variety,Preferred,Synonym Equivalent
P1001,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Microcystis,.,flos-aquae,.,.,PHYT,,*,
P1002,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Microcystis,.,viridis,.,.,PHYT,,*,
P1003,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Microcystis,.,sp.,.,.,PHYT,,*,
P1004,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanocapsa,.,biformis,.,.,PHYT,,*,
P1005,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanocapsa,.,elachista,.,.,PHYT,,*,
P1006,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanocapsa,.,elachista,.,.,PHYT,planctonica,*,
P1007,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanocapsa,.,delicatissima,.,.,PHYT,,*,
P1008,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanocapsa,.,sp.,.,.,PHYT,,*,
P1009,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanothece,.,clathrata,.,.,PHYT,,*,
P1010,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanothece,.,gelatinosa,.,.,PHYT,,*,
P1011,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanothece,.,microscopia,.,.,PHYT,,*,
P1012,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Aphanothece,.,sp.,.,.,PHYT,,*,
P1013,,Cyanophyta,Chlorobacteriaceae,.,.,.,.,.,Pelogloea,.,sp.,.,.,PHYT,,*,
P1014,,Cyanophyta,Cyanophyceae,Chroococcales,.,Chroococcaceae,.,.,Chroococcus,.,limneticus,.,.,PHYT,,*,
P1015,,Cyanophyta,Cyanophyceae,Chroococcales,.,Chroococcaceae,.,.,Chroococcus,.,turgidus,.,.,PHYT,,*,
P1016,,Cyanophyta,Cyanophyceae,Chroococcales,.,Chroococcaceae,.,.,Chroococcus,.,minutus,.,.,PHYT,,*,
P1017,,Cyanophyta,Cyanophyceae,Chroococcales,.,Chroococcaceae,.,.,Chroococcus,.,dispersus,.,.,PHYT,,*,
P1018,,Cyanophyta,Cyanophyceae,Chroococcales,.,Chroococcaceae,.,.,Chroococcus,.,sp.,.,.,PHYT,,*,
P1019,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Radiocystis,.,geminata,.,.,PHYT,,*,
P1020,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Gomphosphaeria,.,natus,.,.,PHYT,,*,
P1021,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Gomphosphaeria,.,aponina,.,.,PHYT,,*,
P1022,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Gomphosphaeria,.,sp.,.,.,PHYT,,*,
P1023,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Coelospaerium,.,kuetzingianum,.,.,PHYT,,*,
P1024,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Woronichinia,.,naegelianum,.,.,PHYT,,*,
P1025,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Coelsphaerium,.,sp.,.,.,PHYT,,*,
P1026,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Merismopedia,.,tenuissima,.,.,PHYT,,*,
P1027,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Merismopedia,.,minima,.,.,PHYT,,*,
P1028,,Cyanophyta,Cyanophyceae,Chroococcales,.,Microcystaceae,.,.,Merismopedia,.,glauca,.,.,PHYT,,*,
